ann_agg,year,esm,experiment,ensemble,variable,continent,type,name,acronym
268.15736607220737,1980,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
267.6830414137212,1981,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
268.3546343058269,1982,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
266.85291762898794,1983,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
268.27265299948033,1984,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
269.9201707458962,1985,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
270.8624426770772,1986,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
268.0860608362729,1987,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
268.5626497149852,1988,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
269.1073955444266,1989,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
268.048621418814,1990,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
267.94161417257607,1991,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
270.32984450975454,1992,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
270.0464299797846,1993,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
267.92259641442723,1994,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
268.78461856369825,1995,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
268.7363987412388,1996,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
268.2698830463457,1997,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
268.0683940941037,1998,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
268.90146463062575,1999,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
269.5239178556341,2000,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
270.1588345531302,2001,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
270.62229011218443,2002,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
269.5124961276121,2003,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
269.04245701263534,2004,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
268.12985752696073,2005,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
269.16035493493575,2006,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
269.57842670478294,2007,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
270.6082760743945,2008,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
271.24103183061175,2009,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
270.7878912836233,2010,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
271.89350282937306,2011,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
271.708505921856,2012,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
269.98800112495184,2013,CanESM5,historical,r11i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
