"esm","experiment","region","iasd","tas_change","pr_pct"
"GFDL-ESM4","ssp119","ARP",0.265273752398688,0.261094430225853,2.99279023855958
"GFDL-ESM4","ssp119","CAF",0.270343077205381,0.503795889495848,-1.98381555731356
"GFDL-ESM4","ssp119","CAR",0.157468864232831,0.22167220016604,-0.318744294332664
"GFDL-ESM4","ssp119","CAU",0.534511323357637,0.421890690026089,-3.83987218338204
"GFDL-ESM4","ssp119","CNA",0.491050371092809,0.944631452346812,6.34598389001903
"GFDL-ESM4","ssp119","EAS",0.258460512040901,0.725037568804794,10.5204045000118
"GFDL-ESM4","ssp119","EAU",0.527901052422328,0.379116150342725,1.00552315880147
"GFDL-ESM4","ssp119","ECA",0.415015475022819,0.524502905476766,8.79032586283366
"GFDL-ESM4","ssp119","EEU",0.713683002086291,0.87381292650349,3.39713100957335
"GFDL-ESM4","ssp119","ENA",0.418027417175493,0.827798004012948,4.77959183176505
"GFDL-ESM4","ssp119","ESAF",0.339731857629174,0.306956907476774,-5.76226542696366
"GFDL-ESM4","ssp119","ESB",0.469283984361459,0.61315866236032,5.53973482840693
"GFDL-ESM4","ssp119","MDG",0.216497135394122,0.254693400143594,-2.356828701212
"GFDL-ESM4","ssp119","MED",0.31127730911361,0.278380822995928,-1.86184512182644
"GFDL-ESM4","ssp119","NAU",0.33681423968596,0.355718671340071,-0.112571244137657
"GFDL-ESM4","ssp119","NCA",0.257824506475316,0.34801319241393,2.63962180547097
"GFDL-ESM4","ssp119","NEAF",0.262313269116409,0.461054600171849,-3.33767523934215
"GFDL-ESM4","ssp119","NEN",0.538665591161344,1.00768383312902,4.73893420063457
"GFDL-ESM4","ssp119","NES",0.327491388047962,0.22066142560584,5.28287437364231
"GFDL-ESM4","ssp119","NEU",0.439011015845622,-0.0548955834004801,1.93768579386103
"GFDL-ESM4","ssp119","NSA",0.414743980537522,0.233705151703987,5.7434236523155
"GFDL-ESM4","ssp119","NWN",0.818899022607968,1.03882106612872,5.88197658723273
"GFDL-ESM4","ssp119","NWS",0.356186484839315,0.349058314994579,1.33611329818405
"GFDL-ESM4","ssp119","NZ",0.216570010207467,0.418817819814933,1.23103290033684
"GFDL-ESM4","ssp119","RAR",0.61080134733004,0.819353867807365,6.02912076517639
"GFDL-ESM4","ssp119","RFE",0.410960866541835,0.891141358825223,9.53252096515389
"GFDL-ESM4","ssp119","SAH",0.301604290506345,0.269992155581008,-16.5629952985866
"GFDL-ESM4","ssp119","SAM",0.424861297462871,0.492513396025799,-2.10864975768524
"GFDL-ESM4","ssp119","SAS",0.23904569697706,0.332823053534128,8.91134425619836
"GFDL-ESM4","ssp119","SAU",0.210843648757778,0.337732219758323,0.616226380148472
"GFDL-ESM4","ssp119","SCA",0.246315254299072,0.276446822807941,2.75253648240245
"GFDL-ESM4","ssp119","SEA",0.170476847365137,0.3501756508482,2.78704049215298
"GFDL-ESM4","ssp119","SEAF",0.24769065395319,0.408955350628219,-8.78722008654937
"GFDL-ESM4","ssp119","SES",0.380817625787816,0.293533853771237,-0.241691298714173
"GFDL-ESM4","ssp119","SSA",0.253390485530129,0.0349123451857167,0.0698503752051831
"GFDL-ESM4","ssp119","SWS",0.253656806635538,0.232025443813768,-2.90695475506433
"GFDL-ESM4","ssp119","TIB",0.397252907937389,0.559308584509665,2.52620967738152
"GFDL-ESM4","ssp119","WAF",0.294204846118201,0.446080114093547,-3.28252123449253
"GFDL-ESM4","ssp119","WCA",0.419032647790361,0.359282465849276,3.39660939334816
"GFDL-ESM4","ssp119","WCE",0.544582352230662,0.348778163284692,1.68584525055034
"GFDL-ESM4","ssp119","WNA",0.427254927878137,0.807109129159358,7.08330411173352
"GFDL-ESM4","ssp119","WSAF",0.278882350704473,0.218389440550084,1.16385065234508
"GFDL-ESM4","ssp119","WSB",0.567890935368279,0.870481487172299,-0.967154819768501
"GFDL-ESM4","ssp126","ARP",0.264615908679806,0.841143852701236,-8.68583364066905
"GFDL-ESM4","ssp126","CAF",0.239514824545559,0.891235812673585,-2.31318255117084
"GFDL-ESM4","ssp126","CAR",0.150919701351923,0.585210623371438,2.41507830526173
"GFDL-ESM4","ssp126","CAU",0.526362025276815,0.762358507603096,2.7321194529235
"GFDL-ESM4","ssp126","CNA",0.502227544599541,1.35294102132519,5.51904405305835
"GFDL-ESM4","ssp126","EAS",0.233145773868512,1.11775002970217,12.0453887287721
"GFDL-ESM4","ssp126","EAU",0.469918765713561,0.668213571151796,8.18624898419384
"GFDL-ESM4","ssp126","ECA",0.412132963940434,1.04340349388502,9.39936115390876
"GFDL-ESM4","ssp126","EEU",0.815541343365367,1.29968411304168,6.05827483715272
"GFDL-ESM4","ssp126","ENA",0.32868884390059,1.06385009621891,5.19365477574603
"GFDL-ESM4","ssp126","ESAF",0.368575647797777,0.828760888345073,-6.73018583294116
"GFDL-ESM4","ssp126","ESB",0.503984635011707,1.16771053293184,9.29921023233195
"GFDL-ESM4","ssp126","MDG",0.208019992494299,0.565391419395041,-4.8124648935692
"GFDL-ESM4","ssp126","MED",0.315847331497128,0.699139733445236,-4.72936039157838
"GFDL-ESM4","ssp126","NAU",0.296005035879418,0.68557481234717,-2.07498608902736
"GFDL-ESM4","ssp126","NCA",0.259385833100708,0.769649892796679,0.559685817515561
"GFDL-ESM4","ssp126","NEAF",0.291226276836489,0.898392949510139,-5.27058052497411
"GFDL-ESM4","ssp126","NEN",0.516676490835799,1.36322036789556,5.07579522752102
"GFDL-ESM4","ssp126","NES",0.357538151022657,0.69363286700144,0.860199582113988
"GFDL-ESM4","ssp126","NEU",0.514848360811573,0.241009429217172,1.11179624073808
"GFDL-ESM4","ssp126","NSA",0.401830551266815,0.786882751445262,0.5243156266313
"GFDL-ESM4","ssp126","NWN",0.737687836750556,1.83038675289492,7.68081113715408
"GFDL-ESM4","ssp126","NWS",0.338873443000798,0.785572187538094,1.91109031779868
"GFDL-ESM4","ssp126","NZ",0.277919237647682,0.706429915836111,2.44653752368858
"GFDL-ESM4","ssp126","RAR",0.613321609667317,1.78525787015087,8.35410740264657
"GFDL-ESM4","ssp126","RFE",0.458364170250573,1.26372927908886,7.38713233887348
"GFDL-ESM4","ssp126","SAH",0.278395794874145,0.71482241314709,-6.22976834881551
"GFDL-ESM4","ssp126","SAM",0.449753049736485,1.04882818082206,-3.73522690790494
"GFDL-ESM4","ssp126","SAS",0.254362516556778,0.82888911956627,4.73150448598639
"GFDL-ESM4","ssp126","SAU",0.226822654314926,0.711367389335066,2.4560929660913
"GFDL-ESM4","ssp126","SCA",0.234499082743107,0.61659450317353,3.16786633633555
"GFDL-ESM4","ssp126","SEA",0.149581453848843,0.591978549855355,-0.282481898354242
"GFDL-ESM4","ssp126","SEAF",0.234558278681476,0.704631451817875,-7.28525253221776
"GFDL-ESM4","ssp126","SES",0.322843973946668,0.544055738409554,4.30457964199432
"GFDL-ESM4","ssp126","SSA",0.276593790378874,0.269106397343023,0.979627527869105
"GFDL-ESM4","ssp126","SWS",0.286068026834961,0.568624259908972,-2.47253069902773
"GFDL-ESM4","ssp126","TIB",0.341988323831853,1.12353184765817,1.57000597689645
"GFDL-ESM4","ssp126","WAF",0.247349159755981,0.774395077624092,-0.44567420291442
"GFDL-ESM4","ssp126","WCA",0.396149795103565,1.01762616960173,-0.270623178720637
"GFDL-ESM4","ssp126","WCE",0.613189978170259,0.6653833451428,5.14419106511109
"GFDL-ESM4","ssp126","WNA",0.441989893179597,1.2331232965708,5.38637373079449
"GFDL-ESM4","ssp126","WSAF",0.30163559482517,0.639759523630914,-2.97797248808947
"GFDL-ESM4","ssp126","WSB",0.651518763522175,1.43473087954033,4.6449235900708
"GFDL-ESM4","ssp245","ARP",0.278066286722084,1.98871918014891,10.2054355092325
"GFDL-ESM4","ssp245","CAF",0.264527536040334,1.89739072710074,-1.92480301112689
"GFDL-ESM4","ssp245","CAR",0.153055979541907,1.3402835176384,2.62302667433043
"GFDL-ESM4","ssp245","CAU",0.547383373515618,1.72347798118079,7.04536231291796
"GFDL-ESM4","ssp245","CNA",0.506642593927769,2.31419375322645,7.26838654354716
"GFDL-ESM4","ssp245","EAS",0.251273706043761,2.09397567358758,9.78308978034672
"GFDL-ESM4","ssp245","EAU",0.503140684069361,1.49556046027953,9.36817422287598
"GFDL-ESM4","ssp245","ECA",0.371613531799532,2.41656649407588,11.8435019561096
"GFDL-ESM4","ssp245","EEU",0.79250527580021,2.46461747885826,8.48435417056151
"GFDL-ESM4","ssp245","ENA",0.342977381628356,2.20598992329212,6.57828637778722
"GFDL-ESM4","ssp245","ESAF",0.351401941427097,1.88898310361981,-5.29848979967482
"GFDL-ESM4","ssp245","ESB",0.548097057324926,2.54156364384414,10.4401569453557
"GFDL-ESM4","ssp245","MDG",0.20322677473256,1.40646263380665,-6.46041587722056
"GFDL-ESM4","ssp245","MED",0.277744924883481,1.81979077404742,-10.5076712013595
"GFDL-ESM4","ssp245","NAU",0.310868362204007,1.4530751159383,4.634573941519
"GFDL-ESM4","ssp245","NCA",0.2685070299291,1.77928975270345,-8.08000672892719
"GFDL-ESM4","ssp245","NEAF",0.268074248282654,1.69068439981055,2.23000254946689
"GFDL-ESM4","ssp245","NEN",0.553940725194517,3.01184371465513,10.3034925744554
"GFDL-ESM4","ssp245","NES",0.355848899909691,1.55168224373824,-3.80969995421637
"GFDL-ESM4","ssp245","NEU",0.472808989776121,1.66884437976421,3.59661693420676
"GFDL-ESM4","ssp245","NSA",0.40151621939571,1.83026602103416,-0.0658220585342857
"GFDL-ESM4","ssp245","NWN",0.733145756836135,3.07020409532572,9.93290828641686
"GFDL-ESM4","ssp245","NWS",0.316171500933215,1.68622931188781,1.63854299520278
"GFDL-ESM4","ssp245","NZ",0.250249382025249,1.47250580594044,3.89870161433933
"GFDL-ESM4","ssp245","RAR",0.52716883200212,3.56077666312979,14.4771114448164
"GFDL-ESM4","ssp245","RFE",0.364549941158084,2.39367952481837,10.6512729494835
"GFDL-ESM4","ssp245","SAH",0.269042709342392,1.98662048941577,-3.73518007125361
"GFDL-ESM4","ssp245","SAM",0.472340835615076,2.29793695210338,-10.169059485157
"GFDL-ESM4","ssp245","SAS",0.240095987629845,1.69699768334993,8.82712128172102
"GFDL-ESM4","ssp245","SAU",0.229721358789847,1.43200386959711,-1.07348114904797
"GFDL-ESM4","ssp245","SCA",0.22257150563077,1.45960631637786,-0.272227461369527
"GFDL-ESM4","ssp245","SEA",0.168346527845533,1.34730748085281,3.92663971023197
"GFDL-ESM4","ssp245","SEAF",0.231481183013572,1.63964691675159,-6.18481019646332
"GFDL-ESM4","ssp245","SES",0.345327689270082,1.34848949374322,2.56742800001949
"GFDL-ESM4","ssp245","SSA",0.243841783784214,0.948331146296482,-0.872462651333962
"GFDL-ESM4","ssp245","SWS",0.221154048090766,1.27201300172624,-10.391299421542
"GFDL-ESM4","ssp245","TIB",0.342925749791056,2.33975392742167,4.66221013366103
"GFDL-ESM4","ssp245","WAF",0.268398299749346,1.84461487943321,-2.33068468377055
"GFDL-ESM4","ssp245","WCA",0.388085382013546,2.31639234934568,-2.93292391726167
"GFDL-ESM4","ssp245","WCE",0.610401244641352,1.89092871181055,3.8429209849366
"GFDL-ESM4","ssp245","WNA",0.434957397993742,2.03505188417807,7.76135603983539
"GFDL-ESM4","ssp245","WSAF",0.298861338146754,1.63683863140909,-5.04026085511164
"GFDL-ESM4","ssp245","WSB",0.680600618434967,2.72061715810833,10.8005023822405
"GFDL-ESM4","ssp370","ARP",0.272349884989668,3.41742280054024,-0.00512305049545878
"GFDL-ESM4","ssp370","CAF",0.274918967429093,3.4311608675261,-8.75012565471211
"GFDL-ESM4","ssp370","CAR",0.18189739403267,2.17034107745229,-13.4947299019637
"GFDL-ESM4","ssp370","CAU",0.602331721026382,3.03633846185238,-0.30232349721032
