ann_agg,year,esm,experiment,ensemble,variable,continent,type,name,acronym
268.1302431953316,1980,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
269.0769947042158,1981,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
268.4716445992955,1982,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
268.2539480155176,1983,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
269.9227260347404,1984,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
271.5700978638852,1985,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
270.61925543344705,1986,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
270.1622753329858,1987,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
270.65936515032746,1988,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
271.1355435652283,1989,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
270.4311493242385,1990,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
269.4989809899508,1991,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
267.8616495029661,1992,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
270.9840994293792,1993,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
272.49455448236137,1994,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
271.57923369795543,1995,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
270.60262192997953,1996,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
270.09312372341896,1997,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
270.4831328053251,1998,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
270.16970554287514,1999,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
269.8244332491147,2000,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
271.31314395393366,2001,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
271.29250607136856,2002,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
270.05351406724463,2003,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
271.84500169920733,2004,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
272.3681221105746,2005,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
270.3160467007627,2006,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
271.9934458564424,2007,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
272.2447137027304,2008,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
271.0043451626637,2009,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
269.7826775389922,2010,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
271.56330871745985,2011,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
272.3824792336652,2012,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
271.3408653232887,2013,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
272.19071875526896,2014,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
265.22131678242425,1980,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
265.65318613282716,1981,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
263.9950759623553,1982,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
263.2506046609525,1983,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
265.559747036206,1984,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
265.22392036552145,1985,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
265.58077794264403,1986,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
266.0977340520636,1987,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
265.8838510800638,1988,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
265.74208632599147,1989,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
266.41493386307076,1990,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
266.5635930613223,1991,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
265.6398459496723,1992,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
266.2751351792592,1993,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
267.7903260114601,1994,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
267.04936179326745,1995,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
266.82545398490316,1996,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
265.9817637293666,1997,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
267.1549785522651,1998,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
267.121438005079,1999,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
266.671393074739,2000,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
268.1630212864709,2001,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
267.1356003783027,2002,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
267.16826503065835,2003,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
266.87065802770934,2004,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
267.47245279824307,2005,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
266.1929156547324,2006,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
267.6697366022206,2007,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
269.32733144232265,2008,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
267.1723165257152,2009,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
267.4288467268928,2010,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
267.07713681584187,2011,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
268.5389618394781,2012,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
269.18807113077577,2013,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
266.76094629653795,2014,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
282.11267837450396,1980,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
281.9144029772719,1981,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
282.2433607370817,1982,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
281.9417186295502,1983,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
282.7184972597396,1984,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
284.19594897202273,1985,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
283.91248659563877,1986,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
283.4855800933976,1987,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
283.85105083453436,1988,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
283.91532350263884,1989,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
282.93163652831174,1990,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
282.3064662023349,1991,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
283.3818203367708,1992,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
283.97197717147077,1993,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
283.1832341065748,1994,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
283.6745323667772,1995,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
283.29284776200046,1996,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
283.08828006776076,1997,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
283.3858799353589,1998,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
283.8411783735672,1999,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
285.0323718250745,2000,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
283.9067738433543,2001,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
283.5738656110547,2002,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
283.4689403008316,2003,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
284.2203719935703,2004,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
284.19475211131777,2005,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
283.73845577550475,2006,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
284.9156239053926,2007,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
284.1884599022139,2008,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
284.5718572520974,2009,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
283.9344988574531,2010,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
284.1838331893267,2011,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
284.5578234878227,2012,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
283.60626787610454,2013,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
284.9129378721837,2014,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA
286.55398678799105,1980,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,C.North-America,CNA
286.3894698122451,1981,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,C.North-America,CNA
286.5288626025015,1982,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,C.North-America,CNA
285.8570660384915,1983,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,C.North-America,CNA
287.4772200240396,1984,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,C.North-America,CNA
287.2671962050298,1985,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,C.North-America,CNA
287.82452709828715,1986,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,C.North-America,CNA
287.96769110246527,1987,CESM2-WACCM,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,C.North-America,CNA
