ann_agg,year,esm,experiment,ensemble,variable,continent,type,name,acronym
265.32648893770573,1980,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
265.90491139888326,1981,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
265.6775047929045,1982,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
265.43066080902264,1983,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
266.4636720085046,1984,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
265.27690187286356,1985,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
265.7838495192583,1986,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
266.82573616494545,1987,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
265.7935300542367,1988,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
266.3528211146867,1989,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
266.7857363704017,1990,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
265.99558076667796,1991,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
264.0958332174957,1992,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
265.45500992050546,1993,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
266.6445666521949,1994,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
265.1239885045492,1995,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
267.03874988308786,1996,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
265.27453385840846,1997,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
267.26637837261785,1998,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
266.2385774248705,1999,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
266.7897472817934,2000,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
267.49616742546607,2001,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
268.12495815213725,2002,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
268.12722531418484,2003,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
268.09580075813864,2004,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
267.4973770695222,2005,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
266.88405099422,2006,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
266.98318385058604,2007,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
268.2607473917156,2008,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
267.36873534170246,2009,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
267.67040457491936,2010,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
266.8305719055895,2011,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
268.31711503428903,2012,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
268.5303916809146,2013,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
269.5065285331014,2014,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
262.2684323264954,1980,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
261.849668000344,1981,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
261.4647456141154,1982,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
262.11010935289806,1983,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
261.7922178285912,1984,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
263.024257667826,1985,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
262.21509238712434,1986,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
262.72933952129284,1987,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
262.70259408879014,1988,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
262.5727860117476,1989,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
263.5983483690721,1990,UKESM1-0-LL,historical,r1i1p1f2,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
