esm,experiment,ens_avg,ens_avg_iasd,ens_avg_sd,var
CAMS-CSM1-0,historical,287.6651834325691,0.08212109209943413,0.11711893811292041,tas
CAMS-CSM1-0,ssp126,288.3363279754201,0.15392878308824928,0.15350915086385464,tas
CAMS-CSM1-0,ssp245,288.9738435235324,0.16287242977139355,0.11556535667297534,tas
CAMS-CSM1-0,ssp370,289.7240240354903,0.1488031725495979,0.23752987744637125,tas
CAMS-CSM1-0,ssp585,290.1289894399033,0.17060485296271705,0.23802806904696108,tas
CAMS-CSM1-0,ssp460,-999.0,-999.0,-999.0,tas
CAMS-CSM1-0,ssp119,287.9742681727166,0.12457497598787326,0.15998850206887494,tas
CAMS-CSM1-0,ssp434,-999.0,-999.0,-999.0,tas
CAMS-CSM1-0,ssp534-over,-999.0,-999.0,-999.0,tas
MIROC6,historical,289.0167937887089,0.16778781846710705,0.2552341472929931,tas
MIROC6,ssp126,289.87403796689875,0.15957558987577156,0.1498505773553317,tas
MIROC6,ssp245,290.55308487931154,0.18055880313194697,0.1634770276377593,tas
MIROC6,ssp370,291.3671869424053,0.22222125447221713,0.25027761524153136,tas
MIROC6,ssp585,292.18392906460315,0.19295152604357718,0.31425144716698444,tas
MIROC6,ssp460,290.89596032858725,0.2264275939160933,0.19566101418844428,tas
MIROC6,ssp119,289.5029365512998,0.2215701218331129,0.18887012997180963,tas
MIROC6,ssp434,290.1972153291134,0.22608142292916705,0.1852784097756186,tas
MIROC6,ssp534-over,290.1276983626165,0.20986141137968417,0.17095709421032637,tas
GFDL-ESM4,historical,287.4352047272213,0.12934025682165864,0.20566201500124473,tas
GFDL-ESM4,ssp126,287.9732931567476,0.13770979395520755,0.11243061384265533,tas
GFDL-ESM4,ssp245,288.86765681312374,0.12773779728667425,0.13880807493424696,tas
GFDL-ESM4,ssp370,289.78975331602567,0.10704598354736929,0.2191781679589893,tas
GFDL-ESM4,ssp585,290.2337289067864,0.1612251201684123,0.3089075094860028,tas
GFDL-ESM4,ssp460,-999.0,-999.0,-999.0,tas
GFDL-ESM4,ssp119,287.5666225989605,0.08670434067921441,0.08732898986569622,tas
GFDL-ESM4,ssp434,-999.0,-999.0,-999.0,tas
GFDL-ESM4,ssp534-over,-999.0,-999.0,-999.0,tas
FGOALS-g3,historical,288.12622658882265,0.09402914646118007,0.17886238360597484,tas
FGOALS-g3,ssp126,288.6727627817961,0.12111166699974601,0.07941922180186964,tas
FGOALS-g3,ssp245,289.44396640134903,0.10257791489517734,0.09592918177887862,tas
FGOALS-g3,ssp370,290.38807810546075,0.10379516557641612,0.2537374388406602,tas
FGOALS-g3,ssp585,290.76927724695076,0.08773689109166599,0.23196024156062336,tas
FGOALS-g3,ssp460,289.40894928960716,0.09427348660767906,0.12780670782935646,tas
FGOALS-g3,ssp119,288.26384974975247,0.09429822264325508,0.07574012386508978,tas
FGOALS-g3,ssp434,288.8959234752167,0.10269826909727682,0.06390732106866294,tas
FGOALS-g3,ssp534-over,288.6575758624581,0.09762360448171517,0.0932928868615158,tas
MPI-ESM1-2-HR,historical,288.0746436956198,0.09421957013873486,0.12198722158551775,tas
MPI-ESM1-2-HR,ssp126,288.6506498513826,0.10356875563808818,0.099146619963456,tas
MPI-ESM1-2-HR,ssp245,289.52078397804974,0.08371535153915925,0.10493365597976424,tas
MPI-ESM1-2-HR,ssp370,290.4439453123395,0.08713849355074683,0.24674630545804296,tas
MPI-ESM1-2-HR,ssp585,290.97999405800465,0.11069665673887054,0.30091588075155384,tas
MPI-ESM1-2-HR,ssp460,-999.0,-999.0,-999.0,tas
MPI-ESM1-2-HR,ssp119,-999.0,-999.0,-999.0,tas
MPI-ESM1-2-HR,ssp434,-999.0,-999.0,-999.0,tas
MPI-ESM1-2-HR,ssp534-over,-999.0,-999.0,-999.0,tas
MPI-ESM1-2-LR,historical,287.5577332639097,0.10562911742491772,0.1311937910358091,tas
MPI-ESM1-2-LR,ssp126,288.1445591891547,0.18364723094232885,0.17673588427603676,tas
MPI-ESM1-2-LR,ssp245,289.0568434356611,0.15181623335830047,0.1265171679650908,tas
MPI-ESM1-2-LR,ssp370,289.9890097973099,0.15028416733350078,0.24094707732033943,tas
MPI-ESM1-2-LR,ssp585,290.6135827793004,0.18055406938246563,0.3435628959438549,tas
MPI-ESM1-2-LR,ssp460,-999.0,-999.0,-999.0,tas
MPI-ESM1-2-LR,ssp119,-999.0,-999.0,-999.0,tas
MPI-ESM1-2-LR,ssp434,-999.0,-999.0,-999.0,tas
MPI-ESM1-2-LR,ssp534-over,-999.0,-999.0,-999.0,tas
MRI-ESM2-0,historical,287.7135129603463,0.12349360572945214,0.11559387828237981,tas
MRI-ESM2-0,ssp126,288.6367037042995,0.09027307612847632,0.10367809176119352,tas
MRI-ESM2-0,ssp245,289.5772366881799,0.12782587348857222,0.08262074208191968,tas
MRI-ESM2-0,ssp370,290.44792547847715,0.1170282025215788,0.22681386710680446,tas
MRI-ESM2-0,ssp585,291.21888363486465,0.14620775212263354,0.266253211420452,tas
MRI-ESM2-0,ssp460,289.90015291503084,0.08532371148777881,0.12380665717005604,tas
MRI-ESM2-0,ssp119,288.27077502412715,0.11365631945372223,0.1413992229235197,tas
MRI-ESM2-0,ssp434,289.2973706117938,0.10971560484482419,0.0861899829184742,tas
MRI-ESM2-0,ssp534-over,289.0121406090374,0.09334311630121228,0.15150164023587018,tas
ACCESS-ESM1-5,historical,288.478411345629,0.1043615214732402,0.19391624492636095,tas
ACCESS-ESM1-5,ssp126,289.64322246916953,0.07516425391555331,0.10257348191613286,tas
ACCESS-ESM1-5,ssp245,290.6727385318656,0.09578996502142417,0.12365201284221893,tas
ACCESS-ESM1-5,ssp370,291.5639485918937,0.12871162404714379,0.23017274636886073,tas
ACCESS-ESM1-5,ssp585,292.26086453177356,0.11067391064618998,0.2860154529702151,tas
ACCESS-ESM1-5,ssp460,-999.0,-999.0,-999.0,tas
ACCESS-ESM1-5,ssp119,-999.0,-999.0,-999.0,tas
ACCESS-ESM1-5,ssp434,-999.0,-999.0,-999.0,tas
ACCESS-ESM1-5,ssp534-over,-999.0,-999.0,-999.0,tas
IPSL-CM6A-LR,historical,286.92267719207575,0.12713473966633024,0.20482947244822525,tas
IPSL-CM6A-LR,ssp126,288.36131317877965,0.17161419377461412,0.13343364475115477,tas
IPSL-CM6A-LR,ssp245,289.5691420159952,0.14826300057045252,0.18932400789816942,tas
IPSL-CM6A-LR,ssp370,290.8405453046216,0.14161465599667677,0.4325387250244532,tas
IPSL-CM6A-LR,ssp585,291.9333545818912,0.17475535746764112,0.48772278191979634,tas
IPSL-CM6A-LR,ssp460,290.0724839629246,0.128527536012514,0.30467840148100167,tas
IPSL-CM6A-LR,ssp119,287.7391314528303,0.13145533135430942,0.14766492808749518,tas
IPSL-CM6A-LR,ssp434,288.77051901026636,0.13971490748777257,0.14288509125311913,tas
IPSL-CM6A-LR,ssp534-over,288.9148082359082,0.14232308914613695,0.12742298826626114,tas
CESM2-WACCM,historical,287.98822377816987,0.16228496694356737,0.22863110083863702,tas
CESM2-WACCM,ssp126,289.3837370986144,0.16412111963260698,0.12013728516529168,tas
CESM2-WACCM,ssp245,290.2311648641391,0.13628865278011681,0.11000308511843766,tas
