esm,experiment,ens_avg,ens_avg_iasd,ens_avg_sd,var
CAMS-CSM1-0,historical,287.62854800686614,0.10377139576544463,0.13154127507613306,tas
CAMS-CSM1-0,ssp126,288.3151257821784,0.1586484560378053,0.1503004634629115,tas
CAMS-CSM1-0,ssp245,288.9827629290097,0.17085577783604733,0.13641288159739504,tas
CAMS-CSM1-0,ssp370,289.68494928998723,0.13874370019663007,0.23338668104534785,tas
CAMS-CSM1-0,ssp585,290.105173736709,0.1630246767137093,0.26003986228565273,tas
CAMS-CSM1-0,ssp460,-999.0,-999.0,-999.0,tas
CAMS-CSM1-0,ssp119,288.00229613369464,0.12785492654263012,0.1297032109357631,tas
CAMS-CSM1-0,ssp434,-999.0,-999.0,-999.0,tas
CAMS-CSM1-0,ssp534-over,-999.0,-999.0,-999.0,tas
MIROC6,historical,289.0254419359874,0.19470641448508227,0.2179072667384544,tas
MIROC6,ssp126,289.83089616951463,0.19067617741456805,0.163858259408176,tas
MIROC6,ssp245,290.58967618756503,0.20265520268843049,0.18026301576748735,tas
MIROC6,ssp370,291.33988464431224,0.21553101228060456,0.2520849439121256,tas
MIROC6,ssp585,292.13377524710603,0.21327002562855327,0.350270308456484,tas
MIROC6,ssp460,290.89596032858725,0.2264275939160933,0.19566101418844428,tas
MIROC6,ssp119,289.5029365512998,0.2215701218331129,0.18887012997180963,tas
MIROC6,ssp434,290.1972153291134,0.22608142292916705,0.1852784097756186,tas
MIROC6,ssp534-over,290.1276983626165,0.20986141137968417,0.17095709421032637,tas
GFDL-ESM4,historical,287.2711532555311,0.1093780627493387,0.19386110289817174,tas
GFDL-ESM4,ssp126,287.9732931567476,0.13770979395520755,0.11243061384265533,tas
GFDL-ESM4,ssp245,288.82515139788615,0.1488146796816376,0.11840555122828887,tas
GFDL-ESM4,ssp370,289.78975331602567,0.10704598354736929,0.2191781679589893,tas
GFDL-ESM4,ssp585,290.2337289067864,0.1612251201684123,0.3089075094860028,tas
GFDL-ESM4,ssp460,-999.0,-999.0,-999.0,tas
GFDL-ESM4,ssp119,287.5666225989605,0.08670434067921441,0.08732898986569622,tas
GFDL-ESM4,ssp434,-999.0,-999.0,-999.0,tas
GFDL-ESM4,ssp534-over,-999.0,-999.0,-999.0,tas
FGOALS-g3,historical,288.11353781087917,0.12359877444155251,0.15268113765954242,tas
FGOALS-g3,ssp126,288.6153490931623,0.09680630943282918,0.08381415403442498,tas
FGOALS-g3,ssp245,289.3320385296641,0.10248297154272862,0.07859122906009369,tas
FGOALS-g3,ssp370,290.361879530424,0.09227192847950608,0.22902002642406316,tas
