"esm","experiment","region","iasd","tas_change","pr_pct"
"ACCESS-ESM1-5","ssp126","ARP",0.259574399831404,2.09342916130225,17.8083242070328
"ACCESS-ESM1-5","ssp126","CAF",0.246058703021136,1.40620354672075,4.80229422912919
"ACCESS-ESM1-5","ssp126","CAR",0.143487383822008,1.26379483281812,0.912492295014188
"ACCESS-ESM1-5","ssp126","CAU",0.461404212641013,1.42204694437726,-18.988713633245
"ACCESS-ESM1-5","ssp126","CNA",0.576608985505443,1.93584468291391,5.98639305095477
"ACCESS-ESM1-5","ssp126","EAS",0.248942423524365,2.09893469026753,9.97508041175169
"ACCESS-ESM1-5","ssp126","EAU",0.393782971371026,1.28953397568262,-10.9663831507348
"ACCESS-ESM1-5","ssp126","ECA",0.391489411085854,2.18311339503566,9.89963683036849
"ACCESS-ESM1-5","ssp126","EEU",0.688827706769679,2.28927460881243,6.81174700253692
"ACCESS-ESM1-5","ssp126","ENA",0.387668650565238,1.95315059931403,4.96475826223235
"ACCESS-ESM1-5","ssp126","ESAF",0.310309501398713,1.41067808216809,-3.14527912176482
"ACCESS-ESM1-5","ssp126","ESB",0.535507029034242,2.25029056249133,8.62404991767619
"ACCESS-ESM1-5","ssp126","MDG",0.244236182758493,1.04528621741036,-5.9106158776088
"ACCESS-ESM1-5","ssp126","MED",0.285746582062051,1.97134923241987,-2.45403139423519
"ACCESS-ESM1-5","ssp126","NAU",0.255637022348711,1.10898887854995,-17.0439333475075
"ACCESS-ESM1-5","ssp126","NCA",0.235831156623119,1.59121801269566,8.94899666044517
"ACCESS-ESM1-5","ssp126","NEAF",0.23536906259965,1.5358975175169,10.0776100478591
"ACCESS-ESM1-5","ssp126","NEN",0.605360718834525,2.71497234695352,9.00779471903285
"ACCESS-ESM1-5","ssp126","NES",0.394701123955868,1.49032956231616,-13.744882602603
"ACCESS-ESM1-5","ssp126","NEU",0.511627551260067,1.51801186215556,6.88627262375066
"ACCESS-ESM1-5","ssp126","NSA",0.42508315570498,1.85067796333635,-12.0583502909396
"ACCESS-ESM1-5","ssp126","NWN",0.647883143613773,2.73481186550987,9.77061731105304
"ACCESS-ESM1-5","ssp126","NWS",0.336872826162742,1.53071422232046,0.477536322607523
