"esm","experiment","ensemble","region","iasd","tas_change","pr_pct"
"MRI-ESM2-0","ssp119","r1i1p1f1","ARP",0.289219396083049,0.653262835888711,-6.8391683181744
"MRI-ESM2-0","ssp126","r1i1p1f1","ARP",0.29615063589913,1.03579354676077,-1.04158761469146
"MRI-ESM2-0","ssp245","r1i1p1f1","ARP",0.324783249787363,2.09727564979778,8.17190265820519
"MRI-ESM2-0","ssp370","r1i1p1f1","ARP",0.303477128536934,3.25491391488538,20.3896115214265
"MRI-ESM2-0","ssp434","r1i1p1f1","ARP",0.280653609411377,1.90694876062798,9.39632329566675
"MRI-ESM2-0","ssp460","r1i1p1f1","ARP",0.250719143218599,2.56012149426067,23.022546715277
"MRI-ESM2-0","ssp585","r1i1p1f1","ARP",0.29724017056479,4.18627930646551,22.2339631928134
"MRI-ESM2-0","ssp126","r2i1p1f1","ARP",0.319711684005897,1.10564872558695,-9.25177811821455
"MRI-ESM2-0","ssp245","r2i1p1f1","ARP",0.268214819590192,2.13992484028688,9.57072575053479
"MRI-ESM2-0","ssp370","r2i1p1f1","ARP",0.322159220540151,3.3770320959394,19.5256043916128
"MRI-ESM2-0","ssp585","r2i1p1f1","ARP",0.308046996234004,4.35452073470123,15.2770705796801
"MRI-ESM2-0","ssp126","r3i1p1f1","ARP",0.264102995672354,1.02052250216116,-4.35547829255976
"MRI-ESM2-0","ssp245","r3i1p1f1","ARP",0.314608649209779,2.17999841564495,1.60409481492661
"MRI-ESM2-0","ssp370","r3i1p1f1","ARP",0.27961174441642,3.29311362182455,20.5603376996611
"MRI-ESM2-0","ssp585","r3i1p1f1","ARP",0.32282593512531,4.30453495623783,34.4554644175266
"MRI-ESM2-0","ssp126","r4i1p1f1","ARP",0.275975411706364,1.06554617602654,2.1400314812356
"MRI-ESM2-0","ssp245","r4i1p1f1","ARP",0.284563781058405,2.10241018575852,3.33858940772226
"MRI-ESM2-0","ssp370","r4i1p1f1","ARP",0.325678989182695,3.33726433143136,15.7351713926462
"MRI-ESM2-0","ssp585","r4i1p1f1","ARP",0.311801354336896,4.37656020196391,24.3847327083431
"MRI-ESM2-0","ssp126","r5i1p1f1","ARP",0.312684573395233,1.01242701894131,1.86320283481814
"MRI-ESM2-0","ssp245","r5i1p1f1","ARP",0.262829366679585,2.11726354297838,12.5740705272708
"MRI-ESM2-0","ssp370","r5i1p1f1","ARP",0.311364508604558,3.18061308755199,15.0795147503572
"MRI-ESM2-0","ssp585","r5i1p1f1","ARP",0.367478260605857,4.2540710185711,21.1359084247096
"MRI-ESM2-0","ssp119","r1i1p1f1","CAF",0.227611334103855,0.75842762163029,-2.25893202371414
"MRI-ESM2-0","ssp126","r1i1p1f1","CAF",0.230451498175308,1.19053280549531,1.33459298618797
"MRI-ESM2-0","ssp245","r1i1p1f1","CAF",0.265723444782053,1.99536332045454,5.93018491706944
