"esm","experiment","ensemble","region","iasd","tas_change","pr_pct"
"NorESM2-LM","ssp126","r1i1p1f1","ARP",0.379429923017581,1.25208056095363,29.0572945813556
"NorESM2-LM","ssp245","r1i1p1f1","ARP",0.380814647843978,2.52796678559605,29.8240762421643
"NorESM2-LM","ssp370","r1i1p1f1","ARP",0.418785532690299,3.7828450101336,47.96426370632
"NorESM2-LM","ssp585","r1i1p1f1","ARP",0.388059247232268,5.07732477496904,NA
"NorESM2-LM","ssp245","r2i1p1f1","ARP",0.365401446269664,2.54610043032068,15.9845233309905
"NorESM2-LM","ssp245","r3i1p1f1","ARP",0.419606022266743,2.22158639625945,-3.71116592985944
"NorESM2-LM","ssp126","r1i1p1f1","CAF",0.458285783041928,0.95113841406237,6.52672019367773
"NorESM2-LM","ssp245","r1i1p1f1","CAF",0.446516374441618,1.96545982169647,10.2819079827941
"NorESM2-LM","ssp370","r1i1p1f1","CAF",0.478612850625649,3.03279680487918,13.1658771738771
"NorESM2-LM","ssp585","r1i1p1f1","CAF",0.494759566003211,3.891095879874,NA
"NorESM2-LM","ssp245","r2i1p1f1","CAF",0.418247286008933,1.97321319926078,11.6933367723001
"NorESM2-LM","ssp245","r3i1p1f1","CAF",0.478321329579638,1.85362862643814,7.1833426641282
"NorESM2-LM","ssp126","r1i1p1f1","CAR",0.26568714638122,1.04555045280256,-0.544781232520699
"NorESM2-LM","ssp245","r1i1p1f1","CAR",0.259325617833605,1.78750610689843,-8.85951756844294
"NorESM2-LM","ssp370","r1i1p1f1","CAR",0.307996522326834,2.43727376494189,-11.1104012084471
"NorESM2-LM","ssp585","r1i1p1f1","CAR",0.258472727944205,3.19407420038931,NA
"NorESM2-LM","ssp245","r2i1p1f1","CAR",0.271387736273381,1.74106043817642,-6.74693777909777
"NorESM2-LM","ssp245","r3i1p1f1","CAR",0.292732747379473,1.53298914344862,-6.9369039538493
"NorESM2-LM","ssp126","r1i1p1f1","CAU",0.363029293553658,0.915886474851561,-12.2379758061509
"NorESM2-LM","ssp245","r1i1p1f1","CAU",0.347423113934488,1.87972935731517,-27.1678365836331
"NorESM2-LM","ssp370","r1i1p1f1","CAU",0.410836247233657,2.86228006392554,-11.0397766729578
"NorESM2-LM","ssp585","r1i1p1f1","CAU",0.390946175072054,3.98859706550081,NA
"NorESM2-LM","ssp245","r2i1p1f1","CAU",0.3762740684747,1.82860424405021,-19.6297215876149
"NorESM2-LM","ssp245","r3i1p1f1","CAU",0.40597853722688,1.94261410417607,-13.8038860626232
"NorESM2-LM","ssp126","r1i1p1f1","CNA",0.589571136893115,1.61710000252867,-1.60266927431175
"NorESM2-LM","ssp245","r1i1p1f1","CNA",0.569227205154219,2.65211624200379,9.18512139376333
"NorESM2-LM","ssp370","r1i1p1f1","CNA",0.529956430944572,3.7458971288624,1.17469168019777
"NorESM2-LM","ssp585","r1i1p1f1","CNA",0.555547276744296,4.85171065898851,NA
"NorESM2-LM","ssp245","r2i1p1f1","CNA",0.6224380209591,2.7636900928448,-1.75042589254096
"NorESM2-LM","ssp245","r3i1p1f1","CNA",0.615550276944358,2.57004493647776,-1.23160119845722
"NorESM2-LM","ssp126","r1i1p1f1","EAS",0.355327234618297,1.50463801594276,4.31470563231915
"NorESM2-LM","ssp245","r1i1p1f1","EAS",0.346270724926336,2.32983097255675,-0.0878197389628576
"NorESM2-LM","ssp370","r1i1p1f1","EAS",0.34387902439557,3.17014020782551,1.59247016376967
"NorESM2-LM","ssp585","r1i1p1f1","EAS",0.347625042663691,4.49749837725477,NA
"NorESM2-LM","ssp245","r2i1p1f1","EAS",0.374623480302126,2.30747287184028,1.98045241794071
"NorESM2-LM","ssp245","r3i1p1f1","EAS",0.390442213919159,2.0729668467709,0.997400251524569
"NorESM2-LM","ssp126","r1i1p1f1","EAU",0.326805563110813,0.870650754115672,-2.83328236008059
"NorESM2-LM","ssp245","r1i1p1f1","EAU",0.301960220888241,1.51799220530745,-12.3584024500389
"NorESM2-LM","ssp370","r1i1p1f1","EAU",0.353090002755932,2.19099435698615,-4.41467377309328
"NorESM2-LM","ssp585","r1i1p1f1","EAU",0.394100916610836,3.07642925407436,NA
"NorESM2-LM","ssp245","r2i1p1f1","EAU",0.335582059629859,1.38038029979373,-8.38515259218911
"NorESM2-LM","ssp245","r3i1p1f1","EAU",0.369217139598256,1.42873547299376,0.433801923156371
"NorESM2-LM","ssp126","r1i1p1f1","ECA",0.505468920194582,1.39088088190755,10.0605505832655
"NorESM2-LM","ssp245","r1i1p1f1","ECA",0.463795881303922,2.76273742690051,8.1112445859529
"NorESM2-LM","ssp370","r1i1p1f1","ECA",0.468998058061838,4.18631104572472,17.768022489116
"NorESM2-LM","ssp585","r1i1p1f1","ECA",0.41703029762064,5.81536235368799,NA
"NorESM2-LM","ssp245","r2i1p1f1","ECA",0.507367666011986,2.90054761085287,8.90634842883244
"NorESM2-LM","ssp245","r3i1p1f1","ECA",0.523113522347318,2.39514963547015,8.91960258644986
"NorESM2-LM","ssp126","r1i1p1f1","EEU",0.752677803408667,1.08583991608486,-1.75819624186111
"NorESM2-LM","ssp245","r1i1p1f1","EEU",0.793024579796869,2.47552094079225,-0.849113623751724
"NorESM2-LM","ssp370","r1i1p1f1","EEU",0.684534067479391,3.81929145261779,0.663487489491391
"NorESM2-LM","ssp585","r1i1p1f1","EEU",0.668277469365703,5.23888582305165,NA
"NorESM2-LM","ssp245","r2i1p1f1","EEU",0.760244503396165,2.36694983402742,2.53765294832126
"NorESM2-LM","ssp245","r3i1p1f1","EEU",0.859742131964733,1.95311398192672,-1.27004379470129
"NorESM2-LM","ssp126","r1i1p1f1","ENA",0.397419075386004,1.66785210042849,3.03443225143913
"NorESM2-LM","ssp245","r1i1p1f1","ENA",0.373852059681851,2.63288939570401,6.36531110503598
"NorESM2-LM","ssp370","r1i1p1f1","ENA",0.361093513531416,3.6653948816957,1.1538003565563
"NorESM2-LM","ssp585","r1i1p1f1","ENA",0.374297779996321,4.71615110343095,NA
"NorESM2-LM","ssp245","r2i1p1f1","ENA",0.394969014437166,2.67936306916874,1.62941173242873
"NorESM2-LM","ssp245","r3i1p1f1","ENA",0.400866371301423,2.44386454954122,3.32906028561118
"NorESM2-LM","ssp126","r1i1p1f1","ESAF",0.395467701171827,0.712248108328652,-6.12966751829142
"NorESM2-LM","ssp245","r1i1p1f1","ESAF",0.449241104609822,1.79957321548414,-9.63443022195979
"NorESM2-LM","ssp370","r1i1p1f1","ESAF",0.484245719377754,2.77640814756251,-13.4354329626229
"NorESM2-LM","ssp585","r1i1p1f1","ESAF",0.463160652815228,3.72051721660171,NA
"NorESM2-LM","ssp245","r2i1p1f1","ESAF",0.394457130240343,1.83846400107183,-13.6751574607772
"NorESM2-LM","ssp245","r3i1p1f1","ESAF",0.428531819146626,1.69100675703191,-4.84670995155516
"NorESM2-LM","ssp126","r1i1p1f1","ESB",0.604429034311996,1.50253517532531,5.84323710886683
"NorESM2-LM","ssp245","r1i1p1f1","ESB",0.707496762553002,2.8289041563192,6.94225611148754
"NorESM2-LM","ssp370","r1i1p1f1","ESB",0.655725637284418,4.52991936449786,8.16920738523809
"NorESM2-LM","ssp585","r1i1p1f1","ESB",0.673587879636243,6.01143220522385,NA
"NorESM2-LM","ssp245","r2i1p1f1","ESB",0.639060510039863,2.76394332870643,5.38931269134288
"NorESM2-LM","ssp245","r3i1p1f1","ESB",0.581232113639527,2.42980313403672,5.63931037926747
"NorESM2-LM","ssp126","r1i1p1f1","MDG",0.263396282465228,0.627403451853297,-7.86127506854914
"NorESM2-LM","ssp245","r1i1p1f1","MDG",0.293069501097442,1.38205038264329,-7.21406755684167
"NorESM2-LM","ssp370","r1i1p1f1","MDG",0.322717758205215,2.02847851642889,-17.8945066555295
"NorESM2-LM","ssp585","r1i1p1f1","MDG",0.319044080124313,2.80252187334702,NA
"NorESM2-LM","ssp245","r2i1p1f1","MDG",0.284848263179392,1.41242656376858,-11.0570916732542
"NorESM2-LM","ssp245","r3i1p1f1","MDG",0.296331425423832,1.36642384103772,-5.08383758279674
