"esm","experiment","ensemble","region","iasd","tas_change","pr_pct"
"CESM2-WACCM","ssp126","r1i1p1f1","ARP",0.31952677784469,1.37864943551375,-6.08368963814531
"CESM2-WACCM","ssp245","r1i1p1f1","ARP",0.325925915766871,2.56968947924497,-4.95543608230947
"CESM2-WACCM","ssp370","r1i1p1f1","ARP",0.311327228452265,3.94627236107203,32.2315834591538
"CESM2-WACCM","ssp585","r1i1p1f1","ARP",0.267543930512244,5.69026681779798,37.3908900803781
"CESM2-WACCM","ssp245","r2i1p1f1","ARP",0.248003149026128,2.63052249400766,-8.51999144664652
"CESM2-WACCM","ssp585","r2i1p1f1","ARP",0.282726530462594,5.79910057213931,20.0802534769954
"CESM2-WACCM","ssp245","r3i1p1f1","ARP",0.283228790206031,2.72852848102423,1.8666000301328
"CESM2-WACCM","ssp585","r3i1p1f1","ARP",0.308467171988055,5.58876992514911,30.3619087826764
"CESM2-WACCM","ssp245","r4i1p1f1","ARP",0.31063389837686,2.5309666536844,-2.38814910512381
"CESM2-WACCM","ssp585","r4i1p1f1","ARP",0.286292587594108,5.57559717151912,41.160022516854
"CESM2-WACCM","ssp245","r5i1p1f1","ARP",0.273167465069364,2.51360725466571,-8.26314237264308
"CESM2-WACCM","ssp585","r5i1p1f1","ARP",0.293122402437332,5.4890212866834,20.1500633694308
"CESM2-WACCM","ssp126","r1i1p1f1","CAF",0.278361289072714,1.56809464812653,3.36014249821532
"CESM2-WACCM","ssp245","r1i1p1f1","CAF",0.335372723826364,2.64350011072867,2.55509131358294
"CESM2-WACCM","ssp370","r1i1p1f1","CAF",0.336273647798838,3.53602920411095,5.98510568699919
"CESM2-WACCM","ssp585","r1i1p1f1","CAF",0.268832517660187,5.22098715220181,9.35670849351594
"CESM2-WACCM","ssp245","r2i1p1f1","CAF",0.297083871802204,2.65123343190402,3.8000450358508
"CESM2-WACCM","ssp585","r2i1p1f1","CAF",0.312184985441794,5.26551635583644,7.03143715784502
"CESM2-WACCM","ssp245","r3i1p1f1","CAF",0.265042762775823,2.69447736781342,5.25202083188276
"CESM2-WACCM","ssp585","r3i1p1f1","CAF",0.274566833426732,4.95385013638548,7.28788780643925
"CESM2-WACCM","ssp245","r4i1p1f1","CAF",0.302061579071677,2.63376331726346,2.80854731011208
"CESM2-WACCM","ssp585","r4i1p1f1","CAF",0.289686575714856,5.13327267173491,3.89022260771693
"CESM2-WACCM","ssp245","r5i1p1f1","CAF",0.296234726481275,2.73584136653994,2.09244997765298
"CESM2-WACCM","ssp585","r5i1p1f1","CAF",0.301521702549704,5.04232455055143,6.57154621160992
"CESM2-WACCM","ssp126","r1i1p1f1","CAR",0.189123792056022,1.16364737164582,-1.48478112419584
"CESM2-WACCM","ssp245","r1i1p1f1","CAR",0.218546509800135,1.9069430562742,-8.50249824096545
"CESM2-WACCM","ssp370","r1i1p1f1","CAR",0.234201395772508,2.57153459310206,-18.7661679762503
"CESM2-WACCM","ssp585","r1i1p1f1","CAR",0.200495899452306,3.54867491812388,-24.9054533243555
"CESM2-WACCM","ssp245","r2i1p1f1","CAR",0.195993947090931,1.78768569526352,-6.90699273818321
"CESM2-WACCM","ssp585","r2i1p1f1","CAR",0.201751416739624,3.58580207570407,-26.6001391123328
"CESM2-WACCM","ssp245","r3i1p1f1","CAR",0.200996336492037,1.85908341449937,-2.14130272010565
"CESM2-WACCM","ssp585","r3i1p1f1","CAR",0.182227773719257,3.39473618256932,-23.4944040763735
"CESM2-WACCM","ssp245","r4i1p1f1","CAR",0.217912478350502,1.85215016651773,-4.06851735675769
"CESM2-WACCM","ssp585","r4i1p1f1","CAR",0.189556205595132,3.55760685860105,-21.1063959132612
"CESM2-WACCM","ssp245","r5i1p1f1","CAR",0.226813517478566,1.82865562767489,-3.2134537292265
"CESM2-WACCM","ssp585","r5i1p1f1","CAR",0.193877762581749,3.48155727864668,-26.8623168301577
"CESM2-WACCM","ssp126","r1i1p1f1","CAU",0.40684318943582,1.93487672584416,-11.1915243304237
"CESM2-WACCM","ssp245","r1i1p1f1","CAU",0.392523209664547,3.16206748622562,-16.0057374748432
"CESM2-WACCM","ssp370","r1i1p1f1","CAU",0.5376148896871,4.33649756728613,-14.4101176341885
"CESM2-WACCM","ssp585","r1i1p1f1","CAU",0.445720412530158,5.89725063282151,-17.9164949571598
"CESM2-WACCM","ssp245","r2i1p1f1","CAU",0.39274835499697,2.98602888000141,-9.80795006583768
"CESM2-WACCM","ssp585","r2i1p1f1","CAU",0.449278339007957,6.10752145076617,-22.1701968915148
"CESM2-WACCM","ssp245","r3i1p1f1","CAU",0.408862781952681,3.04130933343703,-15.3072670065396
"CESM2-WACCM","ssp585","r3i1p1f1","CAU",0.446322380245224,5.63481168472998,-6.63287043559265
"CESM2-WACCM","ssp245","r4i1p1f1","CAU",0.442363502838097,2.92374558093763,-10.9936926948867
"CESM2-WACCM","ssp585","r4i1p1f1","CAU",0.38225440930704,5.78440150736895,-25.8426826027716
"CESM2-WACCM","ssp245","r5i1p1f1","CAU",0.370785523205564,3.1175463187509,-7.63732443644896
"CESM2-WACCM","ssp585","r5i1p1f1","CAU",0.395845506565819,5.74124758570218,-20.8295180156938
"CESM2-WACCM","ssp126","r1i1p1f1","CNA",0.624459742443317,2.15493971290158,7.91357000515545
"CESM2-WACCM","ssp245","r1i1p1f1","CNA",0.663838600428173,2.7878620677991,13.5424434106604
"CESM2-WACCM","ssp370","r1i1p1f1","CNA",0.525331425754473,4.43314684868784,9.26001614614
"CESM2-WACCM","ssp585","r1i1p1f1","CNA",0.566603099811246,6.03962656444526,7.17188750016934
"CESM2-WACCM","ssp245","r2i1p1f1","CNA",0.643397109265607,3.0128545253026,2.75016490414847
"CESM2-WACCM","ssp585","r2i1p1f1","CNA",0.527926840782226,5.48762930750422,12.471549203608
