"esm","experiment","ensemble","region","iasd","tas_change","pr_pct"
"CAMS-CSM1-0","ssp119","r1i1p1f1","ARP",0.326760034442421,0.296539965929696,-2.35398628980451
"CAMS-CSM1-0","ssp126","r1i1p1f1","ARP",0.336732092149932,0.752691158568325,6.56321057327536
"CAMS-CSM1-0","ssp245","r1i1p1f1","ARP",0.336336002570724,1.6577849665469,4.84128342200309
"CAMS-CSM1-0","ssp370","r1i1p1f1","ARP",0.364234470437662,2.80085693753711,23.4377469394801
"CAMS-CSM1-0","ssp585","r1i1p1f1","ARP",0.321970068492612,3.44387843920947,13.1008972852047
"CAMS-CSM1-0","ssp119","r2i1p1f1","ARP",0.354413323302432,0.505668300397133,-5.76653033401697
"CAMS-CSM1-0","ssp126","r2i1p1f1","ARP",0.325427260736199,0.690865131951966,14.4269080125124
"CAMS-CSM1-0","ssp245","r2i1p1f1","ARP",0.353429429121633,1.68411936112437,20.7209026286995
"CAMS-CSM1-0","ssp370","r2i1p1f1","ARP",0.383311042389669,2.59311015180236,9.44334947486849
"CAMS-CSM1-0","ssp585","r2i1p1f1","ARP",0.457284512634441,3.3722965634044,8.60545291017562
"CAMS-CSM1-0","ssp119","r1i1p1f1","CAF",0.309661895836458,0.192203461933786,0.0684389630257958
"CAMS-CSM1-0","ssp126","r1i1p1f1","CAF",0.355258143162923,0.669612271533424,2.25759810888736
"CAMS-CSM1-0","ssp245","r1i1p1f1","CAF",0.287223428170798,1.47293435160032,6.33415093629795
"CAMS-CSM1-0","ssp370","r1i1p1f1","CAF",0.292461928891924,2.23300637139874,11.6988816048924
"CAMS-CSM1-0","ssp585","r1i1p1f1","CAF",0.371015037635945,2.28929575939469,11.9307100731378
"CAMS-CSM1-0","ssp119","r2i1p1f1","CAF",0.353668026849227,0.269391861057557,0.201089717819165
"CAMS-CSM1-0","ssp126","r2i1p1f1","CAF",0.32597825793879,0.637206084895524,2.82698225463315
"CAMS-CSM1-0","ssp245","r2i1p1f1","CAF",0.300238321672042,1.43556363678357,3.98759398362566
"CAMS-CSM1-0","ssp370","r2i1p1f1","CAF",0.348216450445454,2.08540308780147,11.8705663827299
"CAMS-CSM1-0","ssp585","r2i1p1f1","CAF",0.335084064831507,2.10044916138975,14.1146256495952
"CAMS-CSM1-0","ssp119","r1i1p1f1","CAR",0.188235680316776,0.199226252723804,4.88432236981093
"CAMS-CSM1-0","ssp126","r1i1p1f1","CAR",0.164810794487361,0.543254177797394,-2.1639040667294
"CAMS-CSM1-0","ssp245","r1i1p1f1","CAR",0.143444948803192,1.03047690131058,-6.83454235479349
"CAMS-CSM1-0","ssp370","r1i1p1f1","CAR",0.160024069609289,1.73482840835197,-15.366340904323
"CAMS-CSM1-0","ssp585","r1i1p1f1","CAR",0.170983024909832,2.06235553343566,-22.6925673674286
"CAMS-CSM1-0","ssp119","r2i1p1f1","CAR",0.194681136443881,0.215621068564303,-0.976001547264773
"CAMS-CSM1-0","ssp126","r2i1p1f1","CAR",0.203842420272884,0.407761830495133,-4.42945629959669
"CAMS-CSM1-0","ssp245","r2i1p1f1","CAR",0.198893118819564,1.06855642069053,-4.66512609783825
"CAMS-CSM1-0","ssp370","r2i1p1f1","CAR",0.197090758352547,1.62289004066935,-17.0855008620106
"CAMS-CSM1-0","ssp585","r2i1p1f1","CAR",0.209911020095119,1.91550984863989,-19.2437495239334
"CAMS-CSM1-0","ssp119","r1i1p1f1","CAU",0.471873741615493,0.33237197075664,-0.991603732115918
"CAMS-CSM1-0","ssp126","r1i1p1f1","CAU",0.460572736531864,0.672438309189033,7.17517267137232
"CAMS-CSM1-0","ssp245","r1i1p1f1","CAU",0.51956668820293,1.30860910915715,16.0417277580015
"CAMS-CSM1-0","ssp370","r1i1p1f1","CAU",0.587841844659365,2.25470885086162,17.2722342707636
"CAMS-CSM1-0","ssp585","r1i1p1f1","CAU",0.498230401562213,2.79460427535702,10.1463319040353
"CAMS-CSM1-0","ssp119","r2i1p1f1","CAU",0.463296701583618,0.482354170569181,0.271182196477665
"CAMS-CSM1-0","ssp126","r2i1p1f1","CAU",0.469763295363567,0.787740729804341,-1.10988958372173
"CAMS-CSM1-0","ssp245","r2i1p1f1","CAU",0.562156755408315,1.34913375405097,7.65176987427554
"CAMS-CSM1-0","ssp370","r2i1p1f1","CAU",0.529971631609913,2.32980326526632,12.081990974139
"CAMS-CSM1-0","ssp585","r2i1p1f1","CAU",0.626341663344844,2.53201619502613,16.6514038464715
"CAMS-CSM1-0","ssp119","r1i1p1f1","CNA",0.541645346579136,0.43844592304356,5.77285073034747
"CAMS-CSM1-0","ssp126","r1i1p1f1","CNA",0.557676827681773,0.78898903263422,3.46325509127329
"CAMS-CSM1-0","ssp245","r1i1p1f1","CNA",0.502518260824325,1.48005765838127,0.885066556057882
"CAMS-CSM1-0","ssp370","r1i1p1f1","CNA",0.506777877939079,2.60792589334022,0.921291137697382
"CAMS-CSM1-0","ssp585","r1i1p1f1","CNA",0.526406747089731,3.1255423216441,5.34400158388185
"CAMS-CSM1-0","ssp119","r2i1p1f1","CNA",0.57195161819243,0.492162936616808,0.885388650487359
"CAMS-CSM1-0","ssp126","r2i1p1f1","CNA",0.550051463982803,0.762998483842352,5.75608025641253
"CAMS-CSM1-0","ssp245","r2i1p1f1","CNA",0.547369790613002,1.88245637631383,0.0398546151654526
"CAMS-CSM1-0","ssp370","r2i1p1f1","CNA",0.632733542006079,2.63874668302338,3.02266206420433
"CAMS-CSM1-0","ssp585","r2i1p1f1","CNA",0.465074107683965,3.19162635838688,2.82631834836951
"CAMS-CSM1-0","ssp119","r1i1p1f1","EAS",0.328941679560581,0.420032775224456,2.45857139881263
"CAMS-CSM1-0","ssp126","r1i1p1f1","EAS",0.315539331371529,0.926813503383016,4.09610987244383
"CAMS-CSM1-0","ssp245","r1i1p1f1","EAS",0.288900583544305,1.60499038180541,3.60253115542615
"CAMS-CSM1-0","ssp370","r1i1p1f1","EAS",0.327887079445284,2.31595638516802,1.8552294831689
"CAMS-CSM1-0","ssp585","r1i1p1f1","EAS",0.274578004767162,3.0372483275699,4.81837456941464
"CAMS-CSM1-0","ssp119","r2i1p1f1","EAS",0.350516389713022,0.528870749123996,5.38571574990268
"CAMS-CSM1-0","ssp126","r2i1p1f1","EAS",0.318425702827545,0.890366621836051,3.41182982296622
"CAMS-CSM1-0","ssp245","r2i1p1f1","EAS",0.343531589176338,1.67227567549742,6.05035233205849
"CAMS-CSM1-0","ssp370","r2i1p1f1","EAS",0.371810003831174,2.08412821877073,1.88975736933506
"CAMS-CSM1-0","ssp585","r2i1p1f1","EAS",0.345486621574363,2.82653038185117,3.9999373157929
"CAMS-CSM1-0","ssp119","r1i1p1f1","EAU",0.434750307500949,0.452600545689791,-5.56056813278815
"CAMS-CSM1-0","ssp126","r1i1p1f1","EAU",0.407008287044085,0.721811640279384,1.026693499388
"CAMS-CSM1-0","ssp245","r1i1p1f1","EAU",0.387509972274935,1.37857256107907,3.29766394976621
"CAMS-CSM1-0","ssp370","r1i1p1f1","EAU",0.427660117636594,2.23823498725312,1.1160240548267
"CAMS-CSM1-0","ssp585","r1i1p1f1","EAU",0.404789258480976,2.60032788500212,9.83711649071541
"CAMS-CSM1-0","ssp119","r2i1p1f1","EAU",0.399076754690779,0.43655893660798,-0.351117823139098
"CAMS-CSM1-0","ssp126","r2i1p1f1","EAU",0.435006413581305,0.827220284450675,-6.53596425656563
"CAMS-CSM1-0","ssp245","r2i1p1f1","EAU",0.427326755973004,1.34715369416716,6.42115515241834
"CAMS-CSM1-0","ssp370","r2i1p1f1","EAU",0.396533903827891,2.20286438538295,5.02896186705935
"CAMS-CSM1-0","ssp585","r2i1p1f1","EAU",0.42563032161174,2.4898441920551,9.44880032216991
"CAMS-CSM1-0","ssp119","r1i1p1f1","ECA",0.533850294015724,0.484984777428451,0.431303507830414
