"esm","experiment","ensemble","region","iasd","tas_change","pr_pct"
"CanESM5","ssp119","r10i1p1f1","ARP",0.317353358565676,1.12744690753584,20.0891283060567
"CanESM5","ssp126","r10i1p1f1","ARP",0.294410293379272,1.8676786669721,15.2710750493073
"CanESM5","ssp245","r10i1p1f1","ARP",0.303565821307979,3.81818606373793,50.6459541615578
"CanESM5","ssp370","r10i1p1f1","ARP",0.285105997512812,6.30890136179511,88.6632002268532
"CanESM5","ssp585","r10i1p1f1","ARP",0.284425562388107,7.86256089042416,117.645673451868
"CanESM5","ssp119","r11i1p1f1","ARP",0.264461961928723,1.05364793660266,30.5986592443996
"CanESM5","ssp126","r11i1p1f1","ARP",0.289498296590179,1.73292070895451,14.8900004907595
"CanESM5","ssp245","r11i1p1f1","ARP",0.304865782029184,3.8378724072075,43.0946954895623
"CanESM5","ssp370","r11i1p1f1","ARP",0.309448299148874,6.37211492631047,102.566200462932
"CanESM5","ssp585","r11i1p1f1","ARP",0.266216296016471,7.71525712742573,112.25434115107
"CanESM5","ssp119","r12i1p1f1","ARP",0.305015824099602,1.07942429550889,-2.15459245039436
"CanESM5","ssp126","r12i1p1f1","ARP",0.284695831614868,1.83109452490021,28.7342656444301
"CanESM5","ssp245","r12i1p1f1","ARP",0.306043323271533,3.66456151729506,36.3439513674731
"CanESM5","ssp370","r12i1p1f1","ARP",0.314882638899867,6.232397394938,79.5238131841551
"CanESM5","ssp585","r12i1p1f1","ARP",0.295418163487825,7.65942596450714,95.4357068734683
"CanESM5","ssp119","r13i1p1f1","ARP",0.273826598396029,1.12141525571406,-4.43567910966089
"CanESM5","ssp126","r13i1p1f1","ARP",0.300632079093561,1.88229142697406,28.5995503603115
"CanESM5","ssp245","r13i1p1f1","ARP",0.305241706370898,3.75690822203853,57.9839871855065
"CanESM5","ssp370","r13i1p1f1","ARP",0.330721840995504,6.24089824443399,75.2866731909402
"CanESM5","ssp585","r13i1p1f1","ARP",0.351918046995762,7.66700986069026,83.0964407091748
"CanESM5","ssp119","r14i1p1f1","ARP",0.26435191168268,1.12105783682512,6.62703513197291
"CanESM5","ssp126","r14i1p1f1","ARP",0.303722261662457,1.95249549290816,29.168364267216
"CanESM5","ssp245","r14i1p1f1","ARP",0.343923146208778,3.63113026743514,38.4241949680695
"CanESM5","ssp370","r14i1p1f1","ARP",0.303791948240899,6.32422268474221,102.39158781807
"CanESM5","ssp585","r14i1p1f1","ARP",0.318255281948395,7.65336165067845,104.755105880889
"CanESM5","ssp119","r15i1p1f1","ARP",0.308396263417317,1.25386851160857,44.8992540296894
"CanESM5","ssp126","r15i1p1f1","ARP",0.266742431509367,1.90048999663679,22.6520696514339
"CanESM5","ssp245","r15i1p1f1","ARP",0.261014615693141,3.77882913915619,35.0287593321436
"CanESM5","ssp370","r15i1p1f1","ARP",0.304877309586307,6.29195392504693,84.6378866878757
"CanESM5","ssp585","r15i1p1f1","ARP",0.317693706857769,7.76247674371803,92.6854231312678
"CanESM5","ssp119","r16i1p1f1","ARP",0.250989485370119,1.11307671521627,17.3580713851201
"CanESM5","ssp126","r16i1p1f1","ARP",0.246879870449819,2.11717824022259,30.2725893100942
"CanESM5","ssp245","r16i1p1f1","ARP",0.292316898248048,3.82077622944308,46.7454412327744
