GCAM_basin_ID,gcammaptools_name,GCAM_basin_name,Basin_name,GLU_code,GLU_name,ISO,ISO_NUM,Country_name
1,Arctic Ocean Islands,Arctic Ocean Islands,Arctic_Ocean_Islands,GLU001,ArcticIsl,GRL,304,Greenland
2,Northwest Territories,Northwest Territories,Northwest_Territories,GLU002,NWTerr,CAN,124,Canada
3,"Siberia, North Coast",Siberia-North Coast,Siberia_North_Coast,GLU003,SiberiaN,RUS,643,Russian Federation
4,"Siberia, West Coast",Siberia-West Coast,Siberia_West_Coast,GLU004,SiberiaW,RUS,643,Russian Federation
5,Kara Sea Coast,Kara Sea Coast,Kara_Sea_Coast,GLU005,KaraSea,RUS,643,Russian Federation
6,Lena,Lena,Lena,GLU006,LenaR,RUS,643,Russian Federation
7,Pacific and Arctic Coast,Pacific and Arctic Coast,Pacific_and_Arctic_Coast,GLU007,PacArctic,USA,840,United States
8,"Scandinavia, North Coast",Scandinavia-North Coast,Scandinavia_North_Coast,GLU008,ScndnvN,NOR,578,Norway
9,"Russia, Barents Sea Coast",Russia-Barents Sea Coast,Russia_Barents_Sea_Coast,GLU009,BarentsSea,RUS,643,Russian Federation
10,Mackenzie,Mackenzie,Mackenzie,GLU010,Mackenzie,CAN,124,Canada
11,Iceland,Iceland,Iceland,GLU011,Iceland,ISL,352,Iceland
12,Sweden,Sweden,Sweden,GLU012,Sweden,SWE,752,Sweden
13,Finland,Finland,Finland,GLU013,Finland,FIN,246,Finland
14,Northern Dvina,Northern Dvina,Northern_Dvina,GLU014,DvinaRN,RUS,643,Russian Federation
15,Hudson Bay Coast,Hudson Bay Coast,Hudson_Bay_Coast,GLU015,HudsonBay,CAN,124,Canada
16,Scotland,Scotland,Scotland,GLU016,Scotland,GBR,826,United Kingdom
17,Neva,Neva,Neva,GLU017,NevaR,RUS,643,Russian Federation
18,Volga,Volga,Volga,GLU018,VolgaR,RUS,643,Russian Federation
19,Atlantic Ocean Seaboard,Atlantic Ocean Seaboard,Atlantic_Ocean_Seaboard,GLU019,CanAtl,CAN,124,Canada
