pr,year,esm,experiment,ensemble,variable,continent,type,name,acronym
2.5602228129295903e-05,1980,AWI-CM-1-1-MR,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.6390557186580084e-05,1981,AWI-CM-1-1-MR,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.3939340260657627e-05,1982,AWI-CM-1-1-MR,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.4455866215863752e-05,1983,AWI-CM-1-1-MR,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.311060829371931e-05,1984,AWI-CM-1-1-MR,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.4728372246749187e-05,1985,AWI-CM-1-1-MR,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.5256811393837522e-05,1986,AWI-CM-1-1-MR,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.615304473797695e-05,1987,AWI-CM-1-1-MR,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.467457138054779e-05,1988,AWI-CM-1-1-MR,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.4799136288778675e-05,1989,AWI-CM-1-1-MR,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.484044118627393e-05,1990,AWI-CM-1-1-MR,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.6698037644812483e-05,1991,AWI-CM-1-1-MR,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.511173673428816e-05,1992,AWI-CM-1-1-MR,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.4575517890910777e-05,1993,AWI-CM-1-1-MR,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.3280776107228188e-05,1994,AWI-CM-1-1-MR,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.4467260091776632e-05,1995,AWI-CM-1-1-MR,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.6483623019573588e-05,1996,AWI-CM-1-1-MR,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.656032553881544e-05,1997,AWI-CM-1-1-MR,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.586179340679408e-05,1998,AWI-CM-1-1-MR,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.662753171114536e-05,1999,AWI-CM-1-1-MR,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.5199754990407138e-05,2000,AWI-CM-1-1-MR,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.5177942159268384e-05,2001,AWI-CM-1-1-MR,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.6019205754934015e-05,2002,AWI-CM-1-1-MR,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.577482735980846e-05,2003,AWI-CM-1-1-MR,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.5178455616398273e-05,2004,AWI-CM-1-1-MR,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.753215766036659e-05,2005,AWI-CM-1-1-MR,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.5543470045823264e-05,2006,AWI-CM-1-1-MR,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.5086729208332914e-05,2007,AWI-CM-1-1-MR,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.6274596373333586e-05,2008,AWI-CM-1-1-MR,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.606915789109779e-05,2009,AWI-CM-1-1-MR,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.6454551490675302e-05,2010,AWI-CM-1-1-MR,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.505156965648203e-05,2011,AWI-CM-1-1-MR,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
