year,ann_agg,esm,experiment,ensemble,variable
1995,2.7210422783221547e-05,CAMS-CSM1-0,historical,r1i1p1f1,pr
1996,2.4968678672356126e-05,CAMS-CSM1-0,historical,r1i1p1f1,pr
1997,2.5348776619171386e-05,CAMS-CSM1-0,historical,r1i1p1f1,pr
1998,2.644986459447909e-05,CAMS-CSM1-0,historical,r1i1p1f1,pr
1999,2.63062831030782e-05,CAMS-CSM1-0,historical,r1i1p1f1,pr
2000,2.658698638514389e-05,CAMS-CSM1-0,historical,r1i1p1f1,pr
2001,2.4895959306380085e-05,CAMS-CSM1-0,historical,r1i1p1f1,pr
2002,2.404883614004304e-05,CAMS-CSM1-0,historical,r1i1p1f1,pr
2003,2.4946542469929546e-05,CAMS-CSM1-0,historical,r1i1p1f1,pr
2004,2.2599422680544026e-05,CAMS-CSM1-0,historical,r1i1p1f1,pr
2005,2.5049073558086712e-05,CAMS-CSM1-0,historical,r1i1p1f1,pr
2006,2.2729545395672938e-05,CAMS-CSM1-0,historical,r1i1p1f1,pr
2007,2.3628961587505546e-05,CAMS-CSM1-0,historical,r1i1p1f1,pr
2008,2.755994191610601e-05,CAMS-CSM1-0,historical,r1i1p1f1,pr
2009,2.121254575423128e-05,CAMS-CSM1-0,historical,r1i1p1f1,pr
2010,2.8847419679970386e-05,CAMS-CSM1-0,historical,r1i1p1f1,pr
2011,2.4493354617624867e-05,CAMS-CSM1-0,historical,r1i1p1f1,pr
2012,2.612974128990703e-05,CAMS-CSM1-0,historical,r1i1p1f1,pr
2013,2.3867680560289662e-05,CAMS-CSM1-0,historical,r1i1p1f1,pr
2014,2.3572482834596456e-05,CAMS-CSM1-0,historical,r1i1p1f1,pr
1995,2.4302517485497933e-05,CAMS-CSM1-0,historical,r2i1p1f1,pr
1996,2.5373982923499272e-05,CAMS-CSM1-0,historical,r2i1p1f1,pr
1997,2.2180010478457912e-05,CAMS-CSM1-0,historical,r2i1p1f1,pr
1998,2.612618667251116e-05,CAMS-CSM1-0,historical,r2i1p1f1,pr
1999,2.6518827420731343e-05,CAMS-CSM1-0,historical,r2i1p1f1,pr
2000,2.5481255481882122e-05,CAMS-CSM1-0,historical,r2i1p1f1,pr
2001,2.6729886240138684e-05,CAMS-CSM1-0,historical,r2i1p1f1,pr
2002,2.412378591646922e-05,CAMS-CSM1-0,historical,r2i1p1f1,pr
2003,2.5463000535612658e-05,CAMS-CSM1-0,historical,r2i1p1f1,pr
2004,2.288194460234274e-05,CAMS-CSM1-0,historical,r2i1p1f1,pr
2005,2.4944681488075383e-05,CAMS-CSM1-0,historical,r2i1p1f1,pr
2006,2.7614112626431714e-05,CAMS-CSM1-0,historical,r2i1p1f1,pr
2007,2.7306402871921678e-05,CAMS-CSM1-0,historical,r2i1p1f1,pr
2008,2.4921667802700783e-05,CAMS-CSM1-0,historical,r2i1p1f1,pr
2009,2.7650591637668823e-05,CAMS-CSM1-0,historical,r2i1p1f1,pr
2010,2.1907456227954472e-05,CAMS-CSM1-0,historical,r2i1p1f1,pr
2011,2.3753168369460753e-05,CAMS-CSM1-0,historical,r2i1p1f1,pr
2012,2.2990434965486533e-05,CAMS-CSM1-0,historical,r2i1p1f1,pr
2013,2.6677115119987045e-05,CAMS-CSM1-0,historical,r2i1p1f1,pr
2014,2.6135281420313003e-05,CAMS-CSM1-0,historical,r2i1p1f1,pr
2015,2.2346150032977066e-05,CAMS-CSM1-0,ssp126,r1i1p1f1,pr
2016,2.364746094634571e-05,CAMS-CSM1-0,ssp126,r1i1p1f1,pr
2017,2.8849692776967663e-05,CAMS-CSM1-0,ssp126,r1i1p1f1,pr
2018,2.6462224900660464e-05,CAMS-CSM1-0,ssp126,r1i1p1f1,pr
2019,2.4721305768502314e-05,CAMS-CSM1-0,ssp126,r1i1p1f1,pr
2020,2.571349941259026e-05,CAMS-CSM1-0,ssp126,r1i1p1f1,pr
2021,2.2723185477085763e-05,CAMS-CSM1-0,ssp126,r1i1p1f1,pr
2022,2.7858665362516768e-05,CAMS-CSM1-0,ssp126,r1i1p1f1,pr
2023,3.1120759948798796e-05,CAMS-CSM1-0,ssp126,r1i1p1f1,pr
2024,2.1622747305665e-05,CAMS-CSM1-0,ssp126,r1i1p1f1,pr
