ann_agg,year,esm,experiment,ensemble,variable,continent,type,name,acronym
268.77839160132635,1980,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
270.46679314896505,1981,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
269.0006992683379,1982,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
269.8400461490428,1983,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
268.9015291907729,1984,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
268.8448361705827,1985,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
268.83896125609095,1986,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
270.21985862497615,1987,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
268.4376808972074,1988,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
269.1825648781842,1989,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
270.1661101913876,1990,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
270.06147897275264,1991,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
268.7478097194009,1992,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
269.9485272025723,1993,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
269.31383603489326,1994,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
269.6299745188831,1995,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
270.4796410167624,1996,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
269.126411097486,1997,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
268.72110744991056,1998,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
269.06001533187987,1999,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
269.82997408484465,2000,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
269.0476338463114,2001,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
270.1850903072426,2002,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
270.44336068418687,2003,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
270.4263653921201,2004,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
270.19890545096223,2005,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
270.6969196406848,2006,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
270.45553323800425,2007,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
270.9418956425213,2008,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
269.1793071831799,2009,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
270.7321827486301,2010,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
269.34765616248336,2011,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
269.92273972116936,2012,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
269.3428878641769,2013,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
270.3553228645061,2014,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN
269.606345397512,1980,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
268.3022141073987,1981,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
268.73822564687543,1982,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
269.23223305515484,1983,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
268.22547840895487,1984,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
267.98719098485896,1985,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
267.9770244695347,1986,AWI-CM-1-1-MR,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN
