year,ann_agg,esm,experiment,ensemble,variable
1995,283.42928052436076,CAMS-CSM1-0,historical,r1i1p1f1,tas
1996,283.8491151253298,CAMS-CSM1-0,historical,r1i1p1f1,tas
1997,284.4456878837973,CAMS-CSM1-0,historical,r1i1p1f1,tas
1998,283.62846990937294,CAMS-CSM1-0,historical,r1i1p1f1,tas
1999,283.702618561261,CAMS-CSM1-0,historical,r1i1p1f1,tas
2000,283.36691300111784,CAMS-CSM1-0,historical,r1i1p1f1,tas
2001,283.7187002130095,CAMS-CSM1-0,historical,r1i1p1f1,tas
2002,283.6499444318389,CAMS-CSM1-0,historical,r1i1p1f1,tas
2003,284.30166628027945,CAMS-CSM1-0,historical,r1i1p1f1,tas
2004,283.60253622472356,CAMS-CSM1-0,historical,r1i1p1f1,tas
2005,283.9128570873844,CAMS-CSM1-0,historical,r1i1p1f1,tas
2006,284.62790853831024,CAMS-CSM1-0,historical,r1i1p1f1,tas
2007,283.89012939298874,CAMS-CSM1-0,historical,r1i1p1f1,tas
2008,283.3149487004721,CAMS-CSM1-0,historical,r1i1p1f1,tas
2009,284.29273739035176,CAMS-CSM1-0,historical,r1i1p1f1,tas
2010,283.323615547128,CAMS-CSM1-0,historical,r1i1p1f1,tas
2011,284.137154556696,CAMS-CSM1-0,historical,r1i1p1f1,tas
2012,283.77631601735624,CAMS-CSM1-0,historical,r1i1p1f1,tas
2013,284.0753205680811,CAMS-CSM1-0,historical,r1i1p1f1,tas
2014,284.4523135133809,CAMS-CSM1-0,historical,r1i1p1f1,tas
1995,284.18662166492,CAMS-CSM1-0,historical,r2i1p1f1,tas
1996,283.7798258952116,CAMS-CSM1-0,historical,r2i1p1f1,tas
1997,283.8761688682612,CAMS-CSM1-0,historical,r2i1p1f1,tas
1998,283.6667905999116,CAMS-CSM1-0,historical,r2i1p1f1,tas
1999,283.38935159437716,CAMS-CSM1-0,historical,r2i1p1f1,tas
2000,283.00180331312725,CAMS-CSM1-0,historical,r2i1p1f1,tas
2001,283.3943840049308,CAMS-CSM1-0,historical,r2i1p1f1,tas
2002,284.11736949490245,CAMS-CSM1-0,historical,r2i1p1f1,tas
2003,283.5688050382733,CAMS-CSM1-0,historical,r2i1p1f1,tas
2004,283.17305356591527,CAMS-CSM1-0,historical,r2i1p1f1,tas
2005,284.04092964955083,CAMS-CSM1-0,historical,r2i1p1f1,tas
2006,283.5457122452646,CAMS-CSM1-0,historical,r2i1p1f1,tas
2007,284.1945284080429,CAMS-CSM1-0,historical,r2i1p1f1,tas
2008,283.24870002766244,CAMS-CSM1-0,historical,r2i1p1f1,tas
2009,284.1632390235979,CAMS-CSM1-0,historical,r2i1p1f1,tas
2010,283.95021808195656,CAMS-CSM1-0,historical,r2i1p1f1,tas
2011,283.81464018132306,CAMS-CSM1-0,historical,r2i1p1f1,tas
2012,284.083248407512,CAMS-CSM1-0,historical,r2i1p1f1,tas
2013,283.4672090369351,CAMS-CSM1-0,historical,r2i1p1f1,tas
2014,283.03961465779474,CAMS-CSM1-0,historical,r2i1p1f1,tas
2015,284.1607581178328,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2016,283.29515996927677,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2017,284.4818999179269,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2018,284.60286137947725,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2019,283.93688744246646,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2020,284.2947994508663,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2021,283.9962830563597,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2022,284.2330455535687,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2023,283.5044387927071,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2024,284.2961672747637,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2025,284.4882969151792,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2026,284.54304257444,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2027,284.73422571747636,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2028,284.21269602121987,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2029,283.1444248621857,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2030,284.12731391826395,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2031,284.14384221209855,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2032,284.62320598980335,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2033,284.34837281172474,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2034,284.2682328059213,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2035,285.3229657213656,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2036,284.99865962685016,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2037,284.35981919814367,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2038,284.8399586348166,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2039,284.19143865633606,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2040,283.96742526152735,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2041,284.5005585997947,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2042,284.6431088504532,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2043,284.71023073225336,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2044,283.5961533236219,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2045,284.52316337347486,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2046,285.07128145980715,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
