pr,year,esm,experiment,ensemble,variable,continent,type,name,acronym
1.9859770688535953e-05,1980,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.024756479114321e-05,1981,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.1116407982977784e-05,1982,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.0717883346835073e-05,1983,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.0290661689857007e-05,1984,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.0222241198915933e-05,1985,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.1159721093895832e-05,1986,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.0078649002638628e-05,1987,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
1.9533645316933225e-05,1988,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.1053311681990337e-05,1989,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
1.9676704804430048e-05,1990,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.0660971337430423e-05,1991,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.2248791726037064e-05,1992,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.078112426072403e-05,1993,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
1.9918944356453616e-05,1994,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.0036051086334692e-05,1995,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.071251395769766e-05,1996,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
1.880067798926759e-05,1997,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.0802193398996042e-05,1998,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.0963860721227906e-05,1999,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.0500732153716947e-05,2000,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
1.961612271057973e-05,2001,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.165307911320205e-05,2002,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.036103432746809e-05,2003,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.1013140268939022e-05,2004,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.0819746901723716e-05,2005,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
1.9302494344961534e-05,2006,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.059688561822505e-05,2007,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.129737597304563e-05,2008,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.0727905017255957e-05,2009,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.070573923922796e-05,2010,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.1568261033773316e-05,2011,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.1472818538995736e-05,2012,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.127555178987039e-05,2013,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.0459481477912768e-05,2014,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
1.7085025422315908e-05,1980,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.E.North-America,NEN
1.7615503368352375e-05,1981,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.E.North-America,NEN
1.756631353632431e-05,1982,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.E.North-America,NEN
1.721626714541558e-05,1983,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.E.North-America,NEN
1.7756930294001143e-05,1984,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.E.North-America,NEN
1.61352266124006e-05,1985,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.E.North-America,NEN
1.685185098508082e-05,1986,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.E.North-America,NEN
1.7901657105282462e-05,1987,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.E.North-America,NEN
1.7079549089368253e-05,1988,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.E.North-America,NEN
1.651653388735153e-05,1989,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.E.North-America,NEN
1.7527747467064992e-05,1990,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.E.North-America,NEN
1.771406958239722e-05,1991,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.E.North-America,NEN
1.5924673049384396e-05,1992,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.E.North-America,NEN
1.638044552727768e-05,1993,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.E.North-America,NEN
1.7774984286553748e-05,1994,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.E.North-America,NEN
1.8268744966865528e-05,1995,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.E.North-America,NEN
1.702170355749181e-05,1996,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.E.North-America,NEN
1.7437198940532877e-05,1997,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.E.North-America,NEN
1.731675330481443e-05,1998,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.E.North-America,NEN
1.82481051822321e-05,1999,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.E.North-America,NEN
1.7873693481742083e-05,2000,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.E.North-America,NEN
1.7200005125879648e-05,2001,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.E.North-America,NEN
1.6423707064349953e-05,2002,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.E.North-America,NEN
1.7404862867312708e-05,2003,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.E.North-America,NEN
1.6953328917590205e-05,2004,CAS-ESM2-0,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.E.North-America,NEN
