esm,experiment,ens_avg,ens_avg_iasd,ens_avg_sd,var
CAMS-CSM1-0,historical,2.508837075588703e-05,2.823217269965766e-06,1.8087678266100235e-06,pr
CAMS-CSM1-0,ssp126,2.6054556310354565e-05,2.65469089916748e-06,1.9316775161506938e-06,pr
CAMS-CSM1-0,ssp245,2.550036806092461e-05,2.578119440018815e-06,1.8512582087436619e-06,pr
CAMS-CSM1-0,ssp370,2.5635986014971482e-05,3.119205513171491e-06,2.2832363434392893e-06,pr
CAMS-CSM1-0,ssp585,2.6791587715486342e-05,3.6987892805198632e-06,2.432418440253481e-06,pr
CAMS-CSM1-0,ssp460,-999.0,-999.0,-999.0,pr
CAMS-CSM1-0,ssp119,2.5677445319710718e-05,3.073636409410773e-06,2.1821430447276493e-06,pr
CAMS-CSM1-0,ssp434,-999.0,-999.0,-999.0,pr
CAMS-CSM1-0,ssp534-over,-999.0,-999.0,-999.0,pr
MIROC6,historical,2.9450426922762693e-05,2.822839580044495e-06,2.3016286543704487e-06,pr
MIROC6,ssp126,2.9734361835246607e-05,2.9121861209818762e-06,2.329133561979288e-06,pr
MIROC6,ssp245,3.011248351912149e-05,3.1744263909109414e-06,2.456234556627015e-06,pr
MIROC6,ssp370,3.084893505142369e-05,2.8865699763457597e-06,1.96735562819023e-06,pr
MIROC6,ssp585,3.084146840359728e-05,3.4478892615216477e-06,2.5817247575043316e-06,pr
MIROC6,ssp460,3.0263392538215513e-05,2.424985895895143e-06,2.059044941731324e-06,pr
MIROC6,ssp119,3.0220649040972336e-05,2.8112426268363973e-06,2.4603545125271797e-06,pr
MIROC6,ssp434,2.985626860609397e-05,2.052373813492078e-06,1.5653858432132567e-06,pr
MIROC6,ssp534-over,2.999247604985367e-05,2.9519540146173097e-06,2.0941191775575412e-06,pr
GFDL-ESM4,historical,2.9972864930825e-05,2.9430072905827786e-06,1.994775732339862e-06,pr
GFDL-ESM4,ssp126,3.15806155971563e-05,2.487239166842265e-06,1.8396200799066154e-06,pr
GFDL-ESM4,ssp245,3.211427277715232e-05,4.052136217577979e-06,2.5647263330294677e-06,pr
GFDL-ESM4,ssp370,3.1328149705599976e-05,3.3598214484774465e-06,2.4429942810612134e-06,pr
GFDL-ESM4,ssp585,3.182155366289609e-05,3.826147221630171e-06,2.829914251184673e-06,pr
GFDL-ESM4,ssp460,-999.0,-999.0,-999.0,pr
GFDL-ESM4,ssp119,3.1582877859957846e-05,1.8662711394250617e-06,1.3852901415247941e-06,pr
GFDL-ESM4,ssp434,-999.0,-999.0,-999.0,pr
GFDL-ESM4,ssp534-over,-999.0,-999.0,-999.0,pr
FGOALS-g3,historical,2.540132904087791e-05,2.1802701881145235e-06,1.578863388698417e-06,pr
FGOALS-g3,ssp126,2.6538893440129394e-05,2.830785166100973e-06,1.8487195497861601e-06,pr
FGOALS-g3,ssp245,2.6708162595988176e-05,2.4979355419974854e-06,1.7724904655035245e-06,pr
FGOALS-g3,ssp370,2.7925116879646967e-05,2.904871195946445e-06,1.990864430270104e-06,pr
FGOALS-g3,ssp585,2.8544757632030046e-05,2.4782111666966222e-06,1.7022490305737763e-06,pr
FGOALS-g3,ssp460,2.6742748897050645e-05,2.568066601216959e-06,2.0330797659128244e-06,pr
FGOALS-g3,ssp119,2.5601787506460237e-05,2.9221151275705528e-06,2.0645249216331927e-06,pr
FGOALS-g3,ssp434,2.6838005082800106e-05,3.0606894015140823e-06,1.931422982358555e-06,pr
FGOALS-g3,ssp534-over,2.667853387404078e-05,2.9170599170408094e-06,1.812438484941912e-06,pr
MPI-ESM1-2-HR,historical,2.707019178336377e-05,2.8531353576056515e-06,2.0343159352840314e-06,pr
MPI-ESM1-2-HR,ssp126,2.7233270856493618e-05,2.6470017905934145e-06,1.8612070449532214e-06,pr
MPI-ESM1-2-HR,ssp245,2.8414086743112065e-05,2.9461167238747286e-06,2.1539121747093682e-06,pr
MPI-ESM1-2-HR,ssp370,2.7567465048332307e-05,2.8945516228668987e-06,2.092594556344796e-06,pr
MPI-ESM1-2-HR,ssp585,2.7243089501859063e-05,3.455114587295293e-06,2.448863944596124e-06,pr
MPI-ESM1-2-HR,ssp460,-999.0,-999.0,-999.0,pr
MPI-ESM1-2-HR,ssp119,-999.0,-999.0,-999.0,pr
MPI-ESM1-2-HR,ssp434,-999.0,-999.0,-999.0,pr
MPI-ESM1-2-HR,ssp534-over,-999.0,-999.0,-999.0,pr
MPI-ESM1-2-LR,historical,2.790334526493448e-05,2.8597474224934117e-06,2.1829490376938045e-06,pr
MPI-ESM1-2-LR,ssp126,2.886926343506653e-05,3.2729947076492844e-06,2.4962539396018627e-06,pr
MPI-ESM1-2-LR,ssp245,2.8208306754527485e-05,2.9234364311265158e-06,2.2738817334280067e-06,pr
MPI-ESM1-2-LR,ssp370,2.7832386454448257e-05,3.004440686102665e-06,2.2707904926610696e-06,pr
MPI-ESM1-2-LR,ssp585,2.7463887975293472e-05,3.057951742871075e-06,2.3519075295016353e-06,pr
MPI-ESM1-2-LR,ssp460,-999.0,-999.0,-999.0,pr
MPI-ESM1-2-LR,ssp119,-999.0,-999.0,-999.0,pr
MPI-ESM1-2-LR,ssp434,-999.0,-999.0,-999.0,pr
MPI-ESM1-2-LR,ssp534-over,-999.0,-999.0,-999.0,pr
MRI-ESM2-0,historical,3.308234906691458e-05,2.7232989861704473e-06,2.0654402294578716e-06,pr
MRI-ESM2-0,ssp126,3.4769271548612886e-05,3.0577501990329183e-06,2.383184814402548e-06,pr
MRI-ESM2-0,ssp245,3.533845219324244e-05,3.376109195321901e-06,2.385334179626585e-06,pr
MRI-ESM2-0,ssp370,3.602161009858724e-05,3.642992776907409e-06,2.658711216099527e-06,pr
MRI-ESM2-0,ssp585,3.623493666247213e-05,3.3187084018423226e-06,2.3305438763094596e-06,pr
MRI-ESM2-0,ssp460,3.59163619634701e-05,2.537209988268065e-06,2.1984923415648247e-06,pr
MRI-ESM2-0,ssp119,3.425855931188851e-05,2.94585303963125e-06,2.0632882732202323e-06,pr
MRI-ESM2-0,ssp434,3.53414979021523e-05,4.187821636640829e-06,2.6156901865618395e-06,pr
MRI-ESM2-0,ssp534-over,3.433925603777153e-05,2.866330613379548e-06,1.8938417610849476e-06,pr
ACCESS-ESM1-5,historical,3.089582562236254e-05,2.829902958340056e-06,2.0522876539162053e-06,pr
ACCESS-ESM1-5,ssp126,3.259215954777126e-05,3.139496595108045e-06,2.349927513440333e-06,pr
ACCESS-ESM1-5,ssp245,3.258388693568082e-05,3.3368717522374032e-06,2.5072868109034728e-06,pr
ACCESS-ESM1-5,ssp370,3.286220200373764e-05,3.6978377283756655e-06,2.6245759793724633e-06,pr
ACCESS-ESM1-5,ssp585,3.241139759419267e-05,3.8878621873028505e-06,2.7105500791755842e-06,pr
ACCESS-ESM1-5,ssp460,-999.0,-999.0,-999.0,pr
ACCESS-ESM1-5,ssp119,-999.0,-999.0,-999.0,pr
ACCESS-ESM1-5,ssp434,-999.0,-999.0,-999.0,pr
ACCESS-ESM1-5,ssp534-over,-999.0,-999.0,-999.0,pr
IPSL-CM6A-LR,historical,3.242794962805548e-05,2.949279610902475e-06,2.133082775660072e-06,pr
IPSL-CM6A-LR,ssp126,3.428614098151646e-05,3.1368927343201485e-06,2.2959468375910696e-06,pr
IPSL-CM6A-LR,ssp245,3.465688430922471e-05,3.6520253498705384e-06,2.6332554613183425e-06,pr
IPSL-CM6A-LR,ssp370,3.532843998612866e-05,3.915943232849808e-06,2.807595268273837e-06,pr
IPSL-CM6A-LR,ssp585,3.4843520080064394e-05,3.9971475699797786e-06,3.017419508123965e-06,pr
IPSL-CM6A-LR,ssp460,3.547699651311497e-05,3.954858177146212e-06,2.8462034597074304e-06,pr
IPSL-CM6A-LR,ssp119,3.3752146411828955e-05,3.046008435229975e-06,2.2346781783559586e-06,pr
IPSL-CM6A-LR,ssp434,3.443699777509668e-05,4.062214081461991e-06,2.560105009799269e-06,pr
IPSL-CM6A-LR,ssp534-over,3.529751911159858e-05,3.3839395078922007e-06,2.2845349451688415e-06,pr
CESM2-WACCM,historical,2.387238050849943e-05,2.710981944493803e-06,1.921309834063341e-06,pr
CESM2-WACCM,ssp126,2.5875605901322342e-05,2.369667572078315e-06,1.8597201993895238e-06,pr
CESM2-WACCM,ssp245,2.6191746020785454e-05,2.9236743411644244e-06,2.0908584825401657e-06,pr
CESM2-WACCM,ssp370,2.611783297338116e-05,3.615892017628049e-06,2.688748877143331e-06,pr
CESM2-WACCM,ssp585,2.7331953117653185e-05,2.627895999358556e-06,1.9823249133332127e-06,pr
CESM2-WACCM,ssp460,-999.0,-999.0,-999.0,pr
CESM2-WACCM,ssp119,-999.0,-999.0,-999.0,pr
CESM2-WACCM,ssp434,-999.0,-999.0,-999.0,pr
CESM2-WACCM,ssp534-over,2.6395937734120915e-05,2.9633609589682966e-06,1.9881234987772556e-06,pr
UKESM1-0-LL,historical,2.690801455621028e-05,2.7927422896295114e-06,1.9754623940224605e-06,pr
UKESM1-0-LL,ssp126,2.902967514341281e-05,2.709305353034772e-06,1.9761902096952427e-06,pr
UKESM1-0-LL,ssp245,2.9680754843420023e-05,2.9893912876874917e-06,2.2002006754816006e-06,pr
