year,ann_agg,esm,experiment,ensemble,variable
1995,282.86746075680827,CAMS-CSM1-0,historical,r1i1p1f1,tas
1996,283.1734570563022,CAMS-CSM1-0,historical,r1i1p1f1,tas
1997,283.5912339833628,CAMS-CSM1-0,historical,r1i1p1f1,tas
1998,282.36584642024155,CAMS-CSM1-0,historical,r1i1p1f1,tas
1999,282.7057864677003,CAMS-CSM1-0,historical,r1i1p1f1,tas
2000,282.40196765445415,CAMS-CSM1-0,historical,r1i1p1f1,tas
2001,283.08768399804103,CAMS-CSM1-0,historical,r1i1p1f1,tas
2002,282.49189114762436,CAMS-CSM1-0,historical,r1i1p1f1,tas
2003,283.3324852356041,CAMS-CSM1-0,historical,r1i1p1f1,tas
2004,283.25843453115925,CAMS-CSM1-0,historical,r1i1p1f1,tas
2005,282.99458492884463,CAMS-CSM1-0,historical,r1i1p1f1,tas
2006,283.61573171633074,CAMS-CSM1-0,historical,r1i1p1f1,tas
2007,282.7100505339617,CAMS-CSM1-0,historical,r1i1p1f1,tas
2008,281.8562632614372,CAMS-CSM1-0,historical,r1i1p1f1,tas
2009,283.2136560036193,CAMS-CSM1-0,historical,r1i1p1f1,tas
2010,283.0637324710609,CAMS-CSM1-0,historical,r1i1p1f1,tas
2011,283.40247976383665,CAMS-CSM1-0,historical,r1i1p1f1,tas
2012,283.2752874926419,CAMS-CSM1-0,historical,r1i1p1f1,tas
2013,283.11004410069427,CAMS-CSM1-0,historical,r1i1p1f1,tas
2014,283.39292917821655,CAMS-CSM1-0,historical,r1i1p1f1,tas
1995,283.33910734012244,CAMS-CSM1-0,historical,r2i1p1f1,tas
1996,282.6487747672523,CAMS-CSM1-0,historical,r2i1p1f1,tas
1997,283.37920809334884,CAMS-CSM1-0,historical,r2i1p1f1,tas
1998,283.3322236863449,CAMS-CSM1-0,historical,r2i1p1f1,tas
1999,282.90047895529943,CAMS-CSM1-0,historical,r2i1p1f1,tas
2000,282.3073898078136,CAMS-CSM1-0,historical,r2i1p1f1,tas
2001,283.00120430394276,CAMS-CSM1-0,historical,r2i1p1f1,tas
2002,283.4133706219066,CAMS-CSM1-0,historical,r2i1p1f1,tas
2003,282.8757059572993,CAMS-CSM1-0,historical,r2i1p1f1,tas
2004,282.3724194398986,CAMS-CSM1-0,historical,r2i1p1f1,tas
2005,283.2761651820357,CAMS-CSM1-0,historical,r2i1p1f1,tas
2006,282.591774785973,CAMS-CSM1-0,historical,r2i1p1f1,tas
2007,283.47049128727593,CAMS-CSM1-0,historical,r2i1p1f1,tas
2008,282.6726972320681,CAMS-CSM1-0,historical,r2i1p1f1,tas
2009,282.2868565237542,CAMS-CSM1-0,historical,r2i1p1f1,tas
2010,283.41848318794274,CAMS-CSM1-0,historical,r2i1p1f1,tas
2011,283.2490699841643,CAMS-CSM1-0,historical,r2i1p1f1,tas
2012,283.45698044376553,CAMS-CSM1-0,historical,r2i1p1f1,tas
2013,282.5861210303942,CAMS-CSM1-0,historical,r2i1p1f1,tas
2014,281.78883481111194,CAMS-CSM1-0,historical,r2i1p1f1,tas
2015,283.57562106527615,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2016,282.4266645560501,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2017,283.9192297159995,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2018,283.5230441498018,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2019,284.3250084427691,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2020,283.65022768458147,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2021,282.9216594674519,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2022,283.550026873974,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2023,282.9186355835555,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2024,283.2719113586231,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
