esm,experiment,ens_avg,ens_avg_iasd,ens_avg_sd,var
CAMS-CSM1-0,historical,283.78001118066777,0.5780361515668735,0.39571584822119044,tas
CAMS-CSM1-0,ssp126,284.58759655315407,0.5675758565207025,0.48166108793271123,tas
CAMS-CSM1-0,ssp245,285.4329588572891,0.584689569716949,0.4507879661964716,tas
CAMS-CSM1-0,ssp370,286.37302631879277,0.5869693082450729,0.533830354186742,tas
CAMS-CSM1-0,ssp585,286.90909275672703,0.4403228195597428,0.34708354285194265,tas
CAMS-CSM1-0,ssp460,-999.0,-999.0,-999.0,tas
CAMS-CSM1-0,ssp119,284.2228724876186,0.7634682662354451,0.5547654896362142,tas
CAMS-CSM1-0,ssp434,-999.0,-999.0,-999.0,tas
CAMS-CSM1-0,ssp534-over,-999.0,-999.0,-999.0,tas
MIROC6,historical,287.54522642520914,0.6096220508212952,0.49631024629010945,tas
MIROC6,ssp126,289.077897371418,0.5911073965623406,0.4251010395972402,tas
MIROC6,ssp245,290.2574039445716,0.5521404055580899,0.4208665986351837,tas
MIROC6,ssp370,291.3580681464927,0.5704630517520808,0.5796611567351994,tas
MIROC6,ssp585,292.6250047448703,0.5421388058407104,0.6014380929045462,tas
MIROC6,ssp460,290.7934158355456,0.5676624482500577,0.6075116404696304,tas
MIROC6,ssp119,288.3870124386799,0.47722673543965133,0.4024487405494468,tas
MIROC6,ssp434,289.56231165273533,0.4760700591592149,0.3744689889816132,tas
MIROC6,ssp534-over,289.45102679723993,0.4374258822942806,0.29572057728059564,tas
GFDL-ESM4,historical,283.5343500169386,0.6132793334632088,0.4930346948017175,tas
GFDL-ESM4,ssp126,284.779743242724,0.30335417313584867,0.2623170403286337,tas
GFDL-ESM4,ssp245,285.78540961070706,0.48921954340542,0.37286040563471295,tas
GFDL-ESM4,ssp370,286.8600827238034,0.5081543230482484,0.406329956433422,tas
GFDL-ESM4,ssp585,287.56813075581533,0.6299114126234622,0.5596247438764463,tas
GFDL-ESM4,ssp460,-999.0,-999.0,-999.0,tas
GFDL-ESM4,ssp119,284.4019590059777,0.5173943740149844,0.36364055359529995,tas
GFDL-ESM4,ssp434,-999.0,-999.0,-999.0,tas
GFDL-ESM4,ssp534-over,-999.0,-999.0,-999.0,tas
FGOALS-g3,historical,283.81019957465753,0.5722335094153108,0.483545914491568,tas
FGOALS-g3,ssp126,284.7442876406707,0.6410345666948565,0.4354763105647803,tas
FGOALS-g3,ssp245,285.74739778533626,0.7350875053209428,0.4842876522266269,tas
FGOALS-g3,ssp370,287.1176280994363,0.6010985596981997,0.4711078840638098,tas
FGOALS-g3,ssp585,287.5639770364245,0.5820780327542822,0.524901084199757,tas
FGOALS-g3,ssp460,285.6781427988087,0.6820103833296206,0.5147010839111433,tas
FGOALS-g3,ssp119,284.4125704960276,0.5818477836096814,0.4504896564995874,tas
FGOALS-g3,ssp434,285.14717822936393,0.7536925583430538,0.4527780288336408,tas
FGOALS-g3,ssp534-over,284.59410927185894,0.7793018835508391,0.449957423561962,tas
MPI-ESM1-2-HR,historical,284.9166133516372,0.5698925628845589,0.48949129031693905,tas
MPI-ESM1-2-HR,ssp126,285.96658874757657,0.6717464312876478,0.4572291907686932,tas
MPI-ESM1-2-HR,ssp245,287.0197777641022,0.5233292583970124,0.4534738637627921,tas
MPI-ESM1-2-HR,ssp370,288.4580044998417,0.6299563996738395,0.5739933178692581,tas
MPI-ESM1-2-HR,ssp585,289.4333715764865,0.65350017298251,0.6165235689859438,tas
MPI-ESM1-2-HR,ssp460,-999.0,-999.0,-999.0,tas
MPI-ESM1-2-HR,ssp119,-999.0,-999.0,-999.0,tas
MPI-ESM1-2-HR,ssp434,-999.0,-999.0,-999.0,tas
MPI-ESM1-2-HR,ssp534-over,-999.0,-999.0,-999.0,tas
MPI-ESM1-2-LR,historical,284.6652413190374,0.6722970082111035,0.5294973048571716,tas
MPI-ESM1-2-LR,ssp126,285.40337714352995,0.6605405111147996,0.5210969982556944,tas
MPI-ESM1-2-LR,ssp245,286.82858063499646,0.6792270229283123,0.5232224210359596,tas
MPI-ESM1-2-LR,ssp370,288.30240400821134,0.6197617368722977,0.5794242779078319,tas
MPI-ESM1-2-LR,ssp585,289.28891573849785,0.6062972428891682,0.6238944890176854,tas
MPI-ESM1-2-LR,ssp460,-999.0,-999.0,-999.0,tas
MPI-ESM1-2-LR,ssp119,-999.0,-999.0,-999.0,tas
MPI-ESM1-2-LR,ssp434,-999.0,-999.0,-999.0,tas
MPI-ESM1-2-LR,ssp534-over,-999.0,-999.0,-999.0,tas
MRI-ESM2-0,historical,284.87245220509715,0.5668778267809024,0.48064648720496417,tas
MRI-ESM2-0,ssp126,286.1194731429494,0.6655507014373475,0.4624079494627173,tas
MRI-ESM2-0,ssp245,287.16217586320755,0.7278527424487273,0.4721265058744901,tas
MRI-ESM2-0,ssp370,288.17931184420405,0.5756068895251276,0.4859939626418626,tas
MRI-ESM2-0,ssp585,289.1913020878387,0.5718856742459067,0.5192382897463031,tas
MRI-ESM2-0,ssp460,287.5084760518629,0.5616792839970325,0.4442485873860683,tas
MRI-ESM2-0,ssp119,285.7997535696236,0.5663717018371395,0.40442806843979734,tas
MRI-ESM2-0,ssp434,286.90634185827236,0.677979311169267,0.45487820737614293,tas
MRI-ESM2-0,ssp534-over,286.50812827938614,0.3725174685072276,0.3679097257205673,tas
ACCESS-ESM1-5,historical,286.55222713714323,0.5440582924955366,0.468316934789332,tas
ACCESS-ESM1-5,ssp126,288.51575918038964,0.5943864270361541,0.4314453863690568,tas
ACCESS-ESM1-5,ssp245,289.5375846310734,0.529054308978547,0.37966704132983065,tas
ACCESS-ESM1-5,ssp370,290.6066400252404,0.5947023867587452,0.5175329613900531,tas
ACCESS-ESM1-5,ssp585,291.5093667464839,0.6615063230440278,0.5612787262337495,tas
