esm,experiment,ens_avg,ens_avg_iasd,ens_avg_sd,var
CAMS-CSM1-0,historical,2.508837075588703e-05,2.823217269965766e-06,1.8087678266100235e-06,pr
CAMS-CSM1-0,ssp126,2.5811810596952375e-05,2.837739238968418e-06,1.951252980157702e-06,pr
CAMS-CSM1-0,ssp245,2.5363243104456183e-05,2.873343342691207e-06,1.9918737949343345e-06,pr
CAMS-CSM1-0,ssp370,2.5550732684863682e-05,2.966012501676588e-06,2.190260941853894e-06,pr
CAMS-CSM1-0,ssp585,2.5815737239807623e-05,3.5538027680244713e-06,2.4031729100303487e-06,pr
CAMS-CSM1-0,ssp460,-999.0,-999.0,-999.0,pr
CAMS-CSM1-0,ssp119,2.5523881074306537e-05,3.070051975216514e-06,2.14060788995579e-06,pr
CAMS-CSM1-0,ssp434,-999.0,-999.0,-999.0,pr
CAMS-CSM1-0,ssp534-over,-999.0,-999.0,-999.0,pr
MIROC6,historical,2.9450426922762693e-05,2.822839580044495e-06,2.3016286543704487e-06,pr
MIROC6,ssp126,2.9772405768910777e-05,2.9675249101634967e-06,2.406021799344571e-06,pr
MIROC6,ssp245,2.9768208129631307e-05,3.1112494991098047e-06,2.463933160024204e-06,pr
MIROC6,ssp370,3.0185532896659874e-05,2.9031272661099675e-06,2.402561829396085e-06,pr
MIROC6,ssp585,3.0190029093081887e-05,3.1579760876533625e-06,2.5174643952463525e-06,pr
MIROC6,ssp460,3.0284020986168007e-05,3.0757147745770963e-06,2.6110678166858883e-06,pr
MIROC6,ssp119,2.9524314280122997e-05,3.0527716338450875e-06,2.3372612881663833e-06,pr
MIROC6,ssp434,2.9870276730123266e-05,3.287362667463847e-06,2.5274186477178775e-06,pr
MIROC6,ssp534-over,3.0244207259374184e-05,3.227152830866835e-06,2.5077851865688485e-06,pr
GFDL-ESM4,historical,2.9972864930825e-05,2.9430072905827786e-06,1.994775732339862e-06,pr
GFDL-ESM4,ssp126,3.126755314872804e-05,2.5985739193892306e-06,1.9441242775816758e-06,pr
GFDL-ESM4,ssp245,3.1512081441458015e-05,3.1918757303129225e-06,2.3270342466215043e-06,pr
GFDL-ESM4,ssp370,3.0522735104244854e-05,2.983241866902825e-06,2.539470030221437e-06,pr
GFDL-ESM4,ssp585,3.100711325930238e-05,3.0174283401997435e-06,2.327464822953257e-06,pr
GFDL-ESM4,ssp460,-999.0,-999.0,-999.0,pr
GFDL-ESM4,ssp119,3.1480008027763984e-05,2.677164852368334e-06,2.2024343337546447e-06,pr
GFDL-ESM4,ssp434,-999.0,-999.0,-999.0,pr
GFDL-ESM4,ssp534-over,-999.0,-999.0,-999.0,pr
FGOALS-g3,historical,2.540132904087791e-05,2.1802701881145235e-06,1.578863388698417e-06,pr
FGOALS-g3,ssp126,2.6267371379993318e-05,2.6851814374738637e-06,1.8377102390378814e-06,pr
FGOALS-g3,ssp245,2.647338451996479e-05,2.5503654498426835e-06,1.8132822179208597e-06,pr
FGOALS-g3,ssp370,2.6909837820442613e-05,2.517494975082205e-06,1.9552030168445895e-06,pr
FGOALS-g3,ssp585,2.72124920189768e-05,2.712862507596266e-06,2.057835477211199e-06,pr
FGOALS-g3,ssp460,2.6311580985578094e-05,2.256061602955552e-06,1.7318397648222787e-06,pr
FGOALS-g3,ssp119,2.5934826894694253e-05,2.622279049090559e-06,1.8430942707243478e-06,pr
FGOALS-g3,ssp434,2.6397194569694088e-05,2.4629365502290834e-06,1.6603455228926996e-06,pr
FGOALS-g3,ssp534-over,2.638116219892467e-05,2.3392938127630134e-06,1.6546480374589458e-06,pr
MPI-ESM1-2-HR,historical,2.707019178336377e-05,2.8531353576056515e-06,2.0343159352840314e-06,pr
MPI-ESM1-2-HR,ssp126,2.7348527616239818e-05,2.887484704984132e-06,2.00060004716196e-06,pr
MPI-ESM1-2-HR,ssp245,2.7643949934367166e-05,3.2466302226141075e-06,2.4193797604043307e-06,pr
MPI-ESM1-2-HR,ssp370,2.7401268427161785e-05,2.8518173342637783e-06,2.1047874835966265e-06,pr
MPI-ESM1-2-HR,ssp585,2.764125193527787e-05,3.0031151020593436e-06,2.2683281443720994e-06,pr
MPI-ESM1-2-HR,ssp460,-999.0,-999.0,-999.0,pr
MPI-ESM1-2-HR,ssp119,-999.0,-999.0,-999.0,pr
MPI-ESM1-2-HR,ssp434,-999.0,-999.0,-999.0,pr
MPI-ESM1-2-HR,ssp534-over,-999.0,-999.0,-999.0,pr
MPI-ESM1-2-LR,historical,2.790334526493448e-05,2.8597474224934117e-06,2.1829490376938045e-06,pr
MPI-ESM1-2-LR,ssp126,2.8693270058247477e-05,2.9529742028273442e-06,2.289245091696174e-06,pr
MPI-ESM1-2-LR,ssp245,2.8121052828178088e-05,2.9292474237388266e-06,2.2815693649292804e-06,pr
MPI-ESM1-2-LR,ssp370,2.8080581425017414e-05,2.996131499207668e-06,2.2545570347299503e-06,pr
MPI-ESM1-2-LR,ssp585,2.795651255712739e-05,2.9901158972222135e-06,2.304512390525172e-06,pr
MPI-ESM1-2-LR,ssp460,-999.0,-999.0,-999.0,pr
MPI-ESM1-2-LR,ssp119,-999.0,-999.0,-999.0,pr
MPI-ESM1-2-LR,ssp434,-999.0,-999.0,-999.0,pr
MPI-ESM1-2-LR,ssp534-over,-999.0,-999.0,-999.0,pr
MRI-ESM2-0,historical,3.308234906691458e-05,2.7232989861704473e-06,2.0654402294578716e-06,pr
MRI-ESM2-0,ssp126,3.4420189400562825e-05,3.1105743338902137e-06,2.338457651865855e-06,pr
MRI-ESM2-0,ssp245,3.463918288147604e-05,3.3739109510514768e-06,2.471762399519372e-06,pr
MRI-ESM2-0,ssp370,3.4691697040730843e-05,3.2414528683315286e-06,2.507728639340679e-06,pr
MRI-ESM2-0,ssp585,3.5059893318308124e-05,3.2495764883166277e-06,2.5379577485852474e-06,pr
MRI-ESM2-0,ssp460,3.494578715130419e-05,3.019880738443673e-06,2.470394522355019e-06,pr
MRI-ESM2-0,ssp119,3.386754272278006e-05,3.0456366132138032e-06,2.166970190016949e-06,pr
MRI-ESM2-0,ssp434,3.430000155515242e-05,3.555701768732831e-06,2.5834782581963067e-06,pr
MRI-ESM2-0,ssp534-over,3.435476572078617e-05,3.135087441694629e-06,2.294540564380981e-06,pr
ACCESS-ESM1-5,historical,3.089582562236254e-05,2.829902958340056e-06,2.0522876539162053e-06,pr
ACCESS-ESM1-5,ssp126,3.236435204240226e-05,3.149354349890203e-06,2.336122417318983e-06,pr
ACCESS-ESM1-5,ssp245,3.21316670932999e-05,3.3529413661265442e-06,2.5056838677495378e-06,pr
ACCESS-ESM1-5,ssp370,3.213048595361617e-05,3.2919833519604518e-06,2.450362831500204e-06,pr
ACCESS-ESM1-5,ssp585,3.212154340557671e-05,3.398144081273235e-06,2.505864390520399e-06,pr
ACCESS-ESM1-5,ssp460,-999.0,-999.0,-999.0,pr
ACCESS-ESM1-5,ssp119,-999.0,-999.0,-999.0,pr
ACCESS-ESM1-5,ssp434,-999.0,-999.0,-999.0,pr
ACCESS-ESM1-5,ssp534-over,-999.0,-999.0,-999.0,pr
IPSL-CM6A-LR,historical,3.242794962805548e-05,2.949279610902475e-06,2.133082775660072e-06,pr
IPSL-CM6A-LR,ssp126,3.362773976424295e-05,3.1153488653772043e-06,2.3103981989712346e-06,pr
IPSL-CM6A-LR,ssp245,3.3990240157948824e-05,3.2423889038810788e-06,2.444359858789904e-06,pr
IPSL-CM6A-LR,ssp370,3.402452034876443e-05,3.500751585930854e-06,2.684840175779738e-06,pr
IPSL-CM6A-LR,ssp585,3.417050893608908e-05,3.4498027733389044e-06,2.618405672819665e-06,pr
IPSL-CM6A-LR,ssp460,3.412385874750582e-05,3.3074989105091737e-06,2.596138172415951e-06,pr
IPSL-CM6A-LR,ssp119,3.352283301209504e-05,3.0965558627526374e-06,2.3312361564535037e-06,pr
IPSL-CM6A-LR,ssp434,3.386403625613458e-05,3.511466624756773e-06,2.502018223223154e-06,pr
IPSL-CM6A-LR,ssp534-over,3.4563997369693806e-05,3.746856443583348e-06,2.6358916775768708e-06,pr
