year,ann_agg,esm,experiment,ensemble,variable
1995,287.43677615516145,CAMS-CSM1-0,historical,r1i1p1f1,tas
1996,287.50231997456586,CAMS-CSM1-0,historical,r1i1p1f1,tas
1997,287.6120169730926,CAMS-CSM1-0,historical,r1i1p1f1,tas
1998,287.661722045196,CAMS-CSM1-0,historical,r1i1p1f1,tas
1999,287.5262755453244,CAMS-CSM1-0,historical,r1i1p1f1,tas
2000,287.54363695323315,CAMS-CSM1-0,historical,r1i1p1f1,tas
2001,287.52839738841504,CAMS-CSM1-0,historical,r1i1p1f1,tas
2002,287.68415447005003,CAMS-CSM1-0,historical,r1i1p1f1,tas
2003,287.7532083810914,CAMS-CSM1-0,historical,r1i1p1f1,tas
2004,287.76747040317144,CAMS-CSM1-0,historical,r1i1p1f1,tas
2005,287.77989894448683,CAMS-CSM1-0,historical,r1i1p1f1,tas
2006,287.7955504928534,CAMS-CSM1-0,historical,r1i1p1f1,tas
2007,287.76266746068626,CAMS-CSM1-0,historical,r1i1p1f1,tas
2008,287.62600666090225,CAMS-CSM1-0,historical,r1i1p1f1,tas
2009,287.6308852038274,CAMS-CSM1-0,historical,r1i1p1f1,tas
2010,287.6134613427684,CAMS-CSM1-0,historical,r1i1p1f1,tas
2011,287.68320049564153,CAMS-CSM1-0,historical,r1i1p1f1,tas
2012,287.7734552615893,CAMS-CSM1-0,historical,r1i1p1f1,tas
2013,287.8743492310987,CAMS-CSM1-0,historical,r1i1p1f1,tas
2014,287.7482152682266,CAMS-CSM1-0,historical,r1i1p1f1,tas
1995,287.2962859458878,CAMS-CSM1-0,historical,r2i1p1f1,tas
1996,287.46946916577417,CAMS-CSM1-0,historical,r2i1p1f1,tas
1997,287.6230372145712,CAMS-CSM1-0,historical,r2i1p1f1,tas
1998,287.4119155992383,CAMS-CSM1-0,historical,r2i1p1f1,tas
1999,287.4375788898857,CAMS-CSM1-0,historical,r2i1p1f1,tas
2000,287.3584749823146,CAMS-CSM1-0,historical,r2i1p1f1,tas
2001,287.5835918894834,CAMS-CSM1-0,historical,r2i1p1f1,tas
2002,287.45456235364054,CAMS-CSM1-0,historical,r2i1p1f1,tas
2003,287.64565100847125,CAMS-CSM1-0,historical,r2i1p1f1,tas
2004,287.68120187564415,CAMS-CSM1-0,historical,r2i1p1f1,tas
2005,287.61334430268886,CAMS-CSM1-0,historical,r2i1p1f1,tas
2006,287.79523544058617,CAMS-CSM1-0,historical,r2i1p1f1,tas
2007,287.7282197622332,CAMS-CSM1-0,historical,r2i1p1f1,tas
2008,287.59088099738125,CAMS-CSM1-0,historical,r2i1p1f1,tas
2009,287.60633987872285,CAMS-CSM1-0,historical,r2i1p1f1,tas
2010,287.562263001279,CAMS-CSM1-0,historical,r2i1p1f1,tas
2011,287.7005002400329,CAMS-CSM1-0,historical,r2i1p1f1,tas
2012,287.72803238076284,CAMS-CSM1-0,historical,r2i1p1f1,tas
2013,287.74845417193666,CAMS-CSM1-0,historical,r2i1p1f1,tas
2014,287.80321252273046,CAMS-CSM1-0,historical,r2i1p1f1,tas
2015,287.7130750469118,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2016,287.7076899799225,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2017,287.97324743028946,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2018,288.01822565767867,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2019,287.79537863241336,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2020,287.9351712689653,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2021,287.9407564703543,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2022,287.871545008041,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2023,288.129652837009,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2024,288.04465735443983,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2025,287.9271247917388,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2026,288.1078896667829,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2027,288.1200349654154,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2028,288.0738013291154,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2029,287.8353567452261,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2030,287.9307552987032,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2031,288.09806749859433,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2032,288.1278241461876,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2033,288.13298230461237,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2034,288.1018182132918,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2035,288.01552614985445,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2036,288.1199540228615,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2037,288.2452386651023,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2038,288.271665279357,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2039,288.15168762162494,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2040,288.2632631775388,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2041,288.13914756153093,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2042,288.19098364816415,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2043,288.3708916352104,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
2044,288.2066458435777,CAMS-CSM1-0,ssp126,r1i1p1f1,tas
